Lead PI,Ad ID,Media Agency,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71665603,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71665903,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71666003,Online Display,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71666103,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71666203,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71666604,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71666704,Electronic - UnSourced,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71666908,Online Search,Web
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71667110,Online Search,Call Center Internal
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71667111,Online Search,Web
Bowflex Max Trainer,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71667211,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71667311,Online Display,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71667511,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71667615,Online Display,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,8/15/2017,8/15/2017,8/14/2017,71667715,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71667716,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71668017,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,11/2/2017,8/15/2017,8/14/2017,71668117,Online Shopping,Web
Treadclimber,CAM44065 SAWDOSG2TMOBILE2,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71668217,Online Search,Call Center Internal
Bowflex Home Gyms,CAM37117 dosg2gsl27,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71668218,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71668319,Online Search,Web
Bowflex HVT,CAM50811 DOSBIHSL1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71668524,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71668624,Electronic - UnSourced,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71668724,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71668825,Online Display,Web
Bowflex Selecttech Dumbbells,CAM50353 NBA*N60*MX101TIC,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71668927,Short Form,Call Center Internal
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71668928,Online Search,Web
Treadclimber,CAM51532 TVGDN60*M350STIC,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71669029,Short Form,Call Center Internal
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71669030,Online Search,Web
Results Elliptical,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71669131,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM51528 GRITN60*M350STIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71669234,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51523 IFC*N60*M350STIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71669335,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51530 DISAN60*M350STIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71669336,Short Form,Call Center Internal
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71669339,Online Shopping,Web
Results Treadmill,CAM50816 DOFG2BXTFEED1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71669440,Online Shopping,Web
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,,8/15/2017,8/14/2017,71669542,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,8/15/2017,8/15/2017,8/14/2017,71669544,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71669744,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71669844,Online Shopping,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71669845,Electronic - Short Form,Web
Treadclimber,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71670045,Online Shopping,Web
Bowflex Max Trainer,CAM44172 dseesf14a,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71670144,Electronic - Short Form,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71670246,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71670248,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71670249,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71670346,Electronic - Short Form,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71670446,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71670546,Electronic - Short Form,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71670746,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671047,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671148,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71671149,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,8/15/2017,8/14/2017,71671248,Un-Sourced,Call Center Internal
Bowflex HVT,CAM16616 DEGBFBHG,Internal,8/15/2017,8/15/2017,8/14/2017,71671249,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671352,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671452,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671453,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671454,Online Search,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671455,Online Shopping,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671552,Online Search,Web
Bowflex Max Trainer,CAM51534 SPKEN60*M350STIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71671755,Short Form,Call Center Internal
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671756,Online Search,Web
Bowflex Max Trainer,CAM51530 DISAN60*M350STIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71671856,Short Form,Call Center Internal
Results Treadmill,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671857,Online Shopping,Web
Treadclimber,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671858,Online Shopping,Web
Treadclimber,CAM45327 1800MAXTRAINER,Internal,,8/15/2017,8/14/2017,71671957,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71671958,Online Search,Web
Treadclimber,CAM44223 SAWDOSBIE,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71672163,Online Search,Call Center Internal
Bowflex Selecttech Dumbbells,CAM44223 SAWDOSBIE,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71672165,Online Search,Call Center Internal
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71672166,Online Search,Web
Bowflex Max Trainer,CAM51523 IFC*N60*M350STIC,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71672266,Short Form,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71672269,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71672270,Electronic - UnSourced,Web
Treadclimber,CAM37655 dosbitsl10,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71672369,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71672469,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71672470,Electronic - UnSourced,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71672569,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71672769,Electronic - Short Form,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71672870,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71672971,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71673071,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71673171,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71673172,Online Shopping,Web
Bowflex HVT,CAM50811 DOSBIHSL1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71673271,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71673372,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71673472,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71673573,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71673676,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71673776,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71673876,Online Search,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71673976,Online Search,Web
Bowflex Max Trainer,CAM51675 FXLON60*M350STIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71674078,Short Form,Call Center Internal
Treadclimber,CAM48472 DOSG2TSL38,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71674079,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71674379,Online Search,Web
Results Elliptical,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71674480,Electronic - UnSourced,Web
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71674581,Online Search,Web
Bowflex HVT,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71674582,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71674681,Online Shopping,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,8/15/2017,8/15/2017,8/14/2017,71674781,Online Search,Call Center Internal
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71674783,Online Search,Web
Treadclimber,CAM51410 DEDIKE2017Q3,Internal,,8/15/2017,8/14/2017,71674890,Digital - Info Kit,Web
Bowflex Max Trainer,CAM30796 SAWDOSG2G,Internal,,8/15/2017,8/14/2017,71674990,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71674991,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71675093,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71675295,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71675395,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71675497,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71675498,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM29865 SAWADHERETC,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71675599,Online,Call Center Internal
Bowflex HVT,CAM50745 1800HVT,Internal,,8/15/2017,8/14/2017,71675601,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71675602,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71675702,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71675703,Online Search,Web
Bowflex Catalog,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71675704,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71675705,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71675802,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71675902,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71675903,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71675904,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM51622 LMN*N60*M350STIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71676005,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51536 FOXNN60*M350STIC,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71676206,Short Form,Call Center Internal
Treadclimber,CAM44065 SAWDOSG2TMOBILE2,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71676209,Online Search,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71676313,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM51493 CMT*N60*M350CTIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71676415,Short Form,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,,8/15/2017,8/14/2017,71676517,Electronic - UnSourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71676518,Online Search,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71676618,Online Search,Web
Treadclimber,CAM40821 1800BOWFLEX,Internal,,8/15/2017,8/14/2017,71676718,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM40821 1800BOWFLEX,Internal,,8/15/2017,8/14/2017,71676719,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71676821,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71677022,Online Search,Web
Bowflex Max Trainer,CAM44223 SAWDOSBIE,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71677123,Online Search,Call Center Internal
Treadclimber,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71677224,Online Shopping,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71677324,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71677424,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71677425,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71677524,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71677626,Online Shopping,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71677727,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71677728,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71677729,Electronic - UnSourced,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71677827,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71677927,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71678027,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71678229,Electronic - UnSourced,Web
Treadclimber,CAM45327 1800MAXTRAINER,Internal,,8/15/2017,8/14/2017,71678329,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71678332,Electronic - UnSourced,Web
Bowflex HVT,CAM51286 DODAMBHDL1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71678434,Online Display,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,8/15/2017,8/15/2017,8/14/2017,71678534,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71678739,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71679039,Online Search,Web
Bowflex Max Trainer,CAM51158 IFC*N120SOFTXTIC,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71679145,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51678 USALN60*M350STIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71679148,Short Form,Call Center Internal
Bowflex Home Gyms,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71679149,Online Shopping,Web
Bowflex Revolution,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71679249,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71679349,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71679449,Online Search,Web
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,Internal,,8/15/2017,8/14/2017,71679551,Electronic - UnSourced,Call Center Internal
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71679653,Online Search,Web
Results Elliptical,CAM34644 dodg2gdl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71679754,Online Display,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71679857,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71679957,Online Shopping,Web
Bowflex HVT,CAM50805 DODTABOOLAHDL1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71680058,Online Display,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71680359,Online Search,Web
Bowflex Max Trainer,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71680460,Online Search,Web
Bowflex Max Trainer,CAM51611 CMT*N60*M350STIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71680660,Short Form,Call Center Internal
Bowflex Catalog,CAM50958 DSEHSF17A,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71680662,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71680762,Online Shopping,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71680964,Electronic - UnSourced,Web
Results Treadmill,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681165,Online Search,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681265,Online Search,Web
Treadclimber,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681366,Online Search,Web
Treadclimber,CAM34644 dodg2gdl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681469,Online Display,Web
Bowflex Max Trainer,CAM51169 JUCEN120MXMEXTIC,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71681569,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51526 BRNGN60*M350STIC,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681571,Short Form,Call Center Internal
Treadclimber,CAM51526 BRNGN60*M350STIC,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681572,Short Form,Call Center Internal
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681577,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681678,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681778,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71681986,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71682086,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71682190,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71682290,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71682398,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71682498,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71682499,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71682500,Electronic - UnSourced,Web
