Bowflex Selecttech Dumbbells,CAM49389 DCBHOMESUM16,,7/15/2016,7/11/2016,1,Catalog,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,7/16/2016,7/11/2016,8,Online Search,Web
Bowflex Max Trainer,CAM44565 dosbiesl5,,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Max Trainer,CAM44567 dosg2esl3,,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,7/16/2016,7/16/2016,7/11/2016,2,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,7/16/2016,7/11/2016,36,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,,7/16/2016,7/11/2016,3,Online Shopping,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,7/16/2016,7/16/2016,7/11/2016,1,Online Shopping,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,,7/16/2016,7/11/2016,4,Online Shopping,Web
Treadclimber,CAM44948 dofbiefeed1,,7/16/2016,7/11/2016,1,Online Shopping,Web
Bowflex Max Trainer,CAM45043 SAWDOFG2E,7/16/2016,7/16/2016,7/11/2016,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,7/16/2016,7/11/2016,1,Online Shopping,Call Center Internal
Treadclimber,CAM45043 SAWDOFG2E,,7/16/2016,7/11/2016,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,7/16/2016,7/16/2016,7/11/2016,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,7/16/2016,7/11/2016,1,Un-Sourced,Call Center Internal
Treadclimber,CAM45327 1800MAXTRAINER,,7/16/2016,7/11/2016,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45387 DSEESF14E,7/16/2016,7/16/2016,7/11/2016,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,7/16/2016,7/16/2016,7/11/2016,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45563 DPEEPRINT14D,7/16/2016,7/16/2016,7/11/2016,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,7/16/2016,7/11/2016,4,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,7/16/2016,7/11/2016,5,Online Search,Web
Treadclimber,CAM45730 DOSG2ESL7,,7/16/2016,7/11/2016,2,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,7/16/2016,7/16/2016,7/11/2016,10,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,,7/16/2016,7/11/2016,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45800 DSEESF14J,7/16/2016,7/16/2016,7/11/2016,1,Electronic - Short Form,Web
Treadclimber,CAM45852 DOSG2TSL32,7/16/2016,7/16/2016,7/11/2016,8,Online Search,Web
Treadclimber,CAM45852 DOSG2TSL32,7/23/2016,7/16/2016,7/11/2016,1,Online Search,Web
Treadclimber,CAM45852 DOSG2TSL32,,7/16/2016,7/11/2016,2,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,7/16/2016,7/11/2016,15,Online Search,Web
Treadclimber,CAM47150 DOSG2ESL9,,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,,7/16/2016,7/11/2016,1,Online Search,Web
Treadclimber,CAM47152 DOSBIESL8,7/23/2016,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Home Gyms,CAM47170 DOXFBGL1,7/16/2016,7/16/2016,7/11/2016,1,Online Social,Call Center Internal
Treadclimber,CAM47235 SAWDODCTOT,,7/16/2016,7/11/2016,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47251 DODCTOEDL2,7/16/2016,7/16/2016,7/11/2016,2,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,7/16/2016,7/11/2016,8,Online Display,Web
Treadclimber,CAM47251 DODCTOEDL2,,7/16/2016,7/11/2016,1,Online Display,Web
Treadclimber,CAM47254 DODCTOTDL1,7/16/2016,7/16/2016,7/11/2016,1,Online Display,Web
Treadclimber,CAM47254 DODCTOTDL1,,7/16/2016,7/11/2016,1,Online Display,Web
Bowflex Home Gyms,CAM47260 DODCTOGDL1,,7/16/2016,7/11/2016,1,Online Display,Web
Bowflex Max Trainer,CAM47266 DODCTODDL1,,7/16/2016,7/11/2016,1,Online Display,Web
Bowflex Selecttech Dumbbells,CAM47266 DODCTODDL1,,7/16/2016,7/11/2016,5,Online Display,Web
Treadclimber,CAM48185 DOXFBTSCODE002,,7/16/2016,7/11/2016,1,Online Social,Web
Bowflex Max Trainer,CAM48202 DOXFBESCODE002,7/16/2016,7/16/2016,7/11/2016,1,Online Social,Web
Bowflex Max Trainer,CAM48202 DOXFBESCODE002,,7/16/2016,7/11/2016,6,Online Social,Web
Bowflex Max Trainer,CAM48203 DOXFBESCODE003,7/16/2016,7/16/2016,7/11/2016,1,Online Social,Web
Bowflex Max Trainer,CAM48203 DOXFBESCODE003,,7/16/2016,7/11/2016,5,Online Social,Web
Bowflex Selecttech Dumbbells,CAM48206 SAWDOXFBDSCODE,,7/16/2016,7/11/2016,1,Online Social,Call Center Internal
Bowflex Brand,CAM48218 DOXFBSCODE005,,7/16/2016,7/11/2016,2,Online Social,Web
Bowflex Home Gyms,CAM48218 DOXFBSCODE005,,7/16/2016,7/11/2016,1,Online Social,Web
Bowflex Max Trainer,CAM48218 DOXFBSCODE005,,7/16/2016,7/11/2016,1,Online Social,Web
Bowflex Revolution,CAM48218 DOXFBSCODE005,,7/16/2016,7/11/2016,1,Online Social,Web
Bowflex Max Trainer,CAM48360 P0116FAMCIRONSRT,,7/16/2016,7/11/2016,1,Print,Call Center Internal
Treadclimber,CAM48360 P0116FAMCIRONSRT,,7/16/2016,7/11/2016,1,Print,Call Center Internal
Treadclimber,CAM48501 METVN120HKINGTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48503 BRNGN120HKINGTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48518 INSPN180HKINGTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48520 DLFEN180HKINGTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48520 DLFEN180HKINGTIC,7/16/2016,7/16/2016,7/11/2016,2,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM48657 ION*N60*HKINGTIC,7/16/2016,7/16/2016,7/11/2016,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48730 MX12P60*J14FSTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM48744 FOX*NVODJ14FSTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48744 FOX*NVODJ14FSTIC,,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48746 VEL*N120J14FSTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48749 ESQ*N120J14FSTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48749 ESQ*N120J14FSTIC,,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48755 GRITN120J14FSTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48755 GRITN120J14FSTIC,,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48755 GRITN120J14FSTIC,,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48756 LAFFN120J14FSTIC,7/16/2016,7/16/2016,7/11/2016,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48756 LAFFN120J14FSTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48774 PIVTN180JACFSTIC,7/16/2016,7/16/2016,7/11/2016,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48777 VH1CN180JACFSTIC,7/16/2016,7/16/2016,7/11/2016,2,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48791 IFC*N5MNHAMFSTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48793 HERON5MNHAMFSTIC,7/16/2016,7/16/2016,7/11/2016,2,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48876 DSEESF15A,7/16/2016,7/16/2016,7/11/2016,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM48963 ODORN60*J14FSTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48984 DOSG2ESL11,,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Max Trainer,CAM49093 DOXFBESCODE009,,7/16/2016,7/11/2016,1,Online Social,Web
Bowflex Max Trainer,CAM49142 MX26P60*J14FSTIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - West
Treadclimber,CAM49228 INSPN120BOO16TIC,7/16/2016,7/16/2016,7/11/2016,3,Short Form,Call Center Internal
Treadclimber,CAM49228 INSPN120BOO16TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - West
Treadclimber,CAM49229 METVN120BOO16TIC,7/16/2016,7/16/2016,7/11/2016,8,Short Form,Call Center Internal
Treadclimber,CAM49231 GAMEN120BOO16TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49232 DCADN120BOO16TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49234 GET*N120BOO16TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49234 GET*N120BOO16TIC,,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49237 MOVSN120BOO16TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49246 DODSTLEDL1,7/16/2016,7/16/2016,7/11/2016,1,Online Display,Web
Bowflex Max Trainer,CAM49246 DODSTLEDL1,,7/16/2016,7/11/2016,2,Online Display,Web
Treadclimber,CAM49246 DODSTLEDL1,,7/16/2016,7/11/2016,1,Online Display,Web
Bowflex Max Trainer,CAM49294 P0516ROLLSTALEX,,7/16/2016,7/11/2016,1,Print,Call Center Internal
Bowflex Max Trainer,CAM49295 DSEESF16A,7/16/2016,7/16/2016,7/11/2016,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM49295 DSEESF16A,,7/16/2016,7/11/2016,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM49297 DSEESF16C,7/16/2016,7/16/2016,7/11/2016,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM49339 SPKEN120HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49341 IFC*N120HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49345 JUSTN120HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49346 GRITN120HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,6,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49349 FOXNN120HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,2,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM49349 FOXNN120HAM7*TIC,,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM49352 NMAXN120HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49354 DTVSN60*HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49445 ION*N60*HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,5,Short Form,Call Center Internal
Treadclimber,CAM49445 ION*N60*HAM7*TIC,,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49445 ION*N60*HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49474 DRTFN60*HKINGTIC,7/16/2016,7/16/2016,7/11/2016,2,Short Form,Call Center Internal
Treadclimber,CAM49504 INSPN120ABC16TIC,7/16/2016,7/16/2016,7/11/2016,4,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49505 METVN120ABC16TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49506 BRNGN120ABC16TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49508 DCADN120ABC16TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49509 TESCN120ABC16TIC,7/16/2016,7/16/2016,7/11/2016,3,Short Form,Call Center Internal
Treadclimber,CAM49512 MOVSN120ABC16TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49514 LMN*N60*ABC16TIC,7/16/2016,7/16/2016,7/11/2016,3,Short Form,Call Center Internal
Treadclimber,CAM49516 ION*N60*ABC16TIC,7/16/2016,7/16/2016,7/11/2016,3,Short Form,Call Center Internal
Treadclimber,CAM49516 ION*N60*ABC16TIC,,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49533 ACNNL60*HAM7*TIC,7/16/2016,7/16/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49559 DOXFBTSCODEBFJULY16,,7/16/2016,7/11/2016,1,Online Social,Web
