AdID Product Interest,PI Purchased (Item PI),Market Channel,Ad ID,Media Agency,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/14/2017,2,599.099
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/14/2017,1,1463.212
Bowflex Max Trainer,Bowflex Max Trainer,Email - Post Conversion,CAM50520 ICAMEBMEM5729,Internal,Call Center Internal,6/12/2017,6/14/2017,0,171.922
Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM50719 ICAODG2EDL1,TouchPoint Integrated Communications,Web,6/12/2017,6/14/2017,1,1463.212
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45692 SAWICAOFG2E,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/14/2017,1,1484.984
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/12/2017,6/14/2017,2,4635.131
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/12/2017,6/14/2017,0,.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Display,CAM50721 ICAODG2DDL1,TouchPoint Integrated Communications,Web,6/12/2017,6/14/2017,1,299.549
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,TouchPoint Integrated Communications,Web,6/12/2017,6/14/2017,0,214.404
Treadclimber,Treadclimber,Online Social,CAM48221 ICAOXFBTSCODE002,Social Code,Web,6/12/2017,6/14/2017,1,1703.68
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/12/2017,6/15/2017,0,171.922
Bowflex Brand,Bowflex Revolution,Electronic - UnSourced,CAM49450 BOWWEB800,Internal,Call Center Internal,6/12/2017,6/15/2017,0,.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/15/2017,0,45.012
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/15/2017,1,1075.224
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/15/2017,1,299.549
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/15/2017,1,299.549
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/15/2017,0,94.314
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/15/2017,2,829.239
Bowflex Home Gyms,Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,6/12/2017,6/15/2017,1,1575.817
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,6/12/2017,6/15/2017,1,1612.611
Bowflex Home Gyms,Treadclimber,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,6/12/2017,6/15/2017,0,74.324
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,Web,6/12/2017,6/15/2017,3,4018.465
Bowflex Max Trainer,Bowflex Home Gyms,Short Form,CAM51232 SPKEN60*SOFTYTIC,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/15/2017,1,1349.841
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/12/2017,6/15/2017,2,3855.101
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/12/2017,6/15/2017,0,.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Display,CAM50721 ICAODG2DDL1,TouchPoint Integrated Communications,Web,6/12/2017,6/15/2017,1,590.84
Treadclimber,Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Internal,Call Center Internal,6/12/2017,6/15/2017,0,.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/12/2017,6/16/2017,0,105.097
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/12/2017,6/16/2017,1,1463.212
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/12/2017,6/16/2017,2,1280.029
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/12/2017,6/16/2017,0,74.324
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/16/2017,2,3661.408
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/16/2017,2,599.099
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/16/2017,0,.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/16/2017,1,524.774
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/16/2017,0,46.484
Bowflex Home Gyms,Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,6/12/2017,6/16/2017,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,Web,6/12/2017,6/16/2017,1,1025.224
Bowflex Max Trainer,Bowflex Max Trainer,Online Social,CAM48226 ICAOXFBESCODE002,Social Code,Web,6/12/2017,6/16/2017,2,3728.225
Bowflex Max Trainer,Treadclimber,Online Social,CAM48226 ICAOXFBESCODE002,Social Code,Web,6/12/2017,6/16/2017,0,.00
Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Short Form,CAM50417 ION*N60*MX101TIC,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/16/2017,1,150.15
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM129 1800BOWFLEX_BST,Internal,Call Center Internal,6/12/2017,6/16/2017,0,164.414
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,6/12/2017,6/16/2017,1,556.406
Treadclimber,Bowflex Max Trainer,Online Search,CAM30841 icaosgctsl2,TouchPoint Integrated Communications,Web,6/12/2017,6/16/2017,1,1463.212
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/17/2017,0,45.012
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/17/2017,1,2317.565
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/17/2017,0,.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,0,94.314
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,4,1728.637
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,1,1463.212
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,0,176.867
Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM50719 ICAODG2EDL1,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,1,1463.212
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45628 ICAOSBCESL2,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,1,1463.212
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,2,2926.424
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,1,299.549
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,2,1049.549
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Social,CAM48231 ICAOXFBDSCODE002,Social Code,Web,6/12/2017,6/17/2017,1,299.549
Treadclimber,Bowflex Max Trainer,Online Display,CAM50718 ICAODG2TDL1,TouchPoint Integrated Communications,Web,6/12/2017,6/17/2017,1,1463.212
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/18/2017,0,94.314
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/18/2017,2,3489.486
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/18/2017,3,1063.062
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/18/2017,0,.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,0,94.314
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,2,763.513
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,1,1560.059
Bowflex Brand,Treadclimber,Online Search,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,0,74.324
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Kingstar Media,Web,6/12/2017,6/18/2017,1,1463.212
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45692 SAWICAOFG2E,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/18/2017,1,1463.212
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,1,1025.224
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,1,1463.212
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Display,CAM50721 ICAODG2DDL1,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,1,299.549
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,1,590.84
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Social,CAM48231 ICAOXFBDSCODE002,Social Code,Web,6/12/2017,6/18/2017,1,463.964
Treadclimber,Bowflex Max Trainer,Online Search,CAM30841 icaosgctsl2,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,1,1463.212
Treadclimber,Bowflex Selecttech Dumbbells,Online Search,CAM30841 icaosgctsl2,TouchPoint Integrated Communications,Web,6/12/2017,6/18/2017,1,763.513
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Call Center Internal,6/19/2017,6/19/2017,1,524.774
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/19/2017,6/19/2017,4,1423.422
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,1,1025.224
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,3,1239.899
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM28157 SALESFOLLOWUP,Internal,Call Center Internal,6/19/2017,6/19/2017,2,3780.777
Bowflex Home Gyms,Treadclimber,Un-Sourced,CAM28157 SALESFOLLOWUP,Internal,Call Center Internal,6/19/2017,6/19/2017,0,.00
Bowflex Max Trainer,- None -,Electronic - Short Form,CAM45694 ICASESF14B,Kingstar Media,Call Center Internal,6/19/2017,6/19/2017,0,141.892
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Kingstar Media,Web,6/19/2017,6/19/2017,1,1025.224
Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM50719 ICAODG2EDL1,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,1,1463.212
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45692 SAWICAOFG2E,TouchPoint Integrated Communications,Call Center Internal,6/19/2017,6/19/2017,1,1092.041
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,1,1025.224
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45628 ICAOSBCESL2,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,1,2026.274
Bowflex Max Trainer,Treadclimber,Online Search,CAM45628 ICAOSBCESL2,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,2,2926.424
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM50695 OLN*C120MX121KST,Kingstar Media,Call Center Internal,6/19/2017,6/19/2017,1,1425.674
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/19/2017,6/19/2017,1,1137.086
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44446 icaosbidsl1,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,1,590.84
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,1,299.549
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,6/19/2017,6/19/2017,2,599.099
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Social,CAM48231 ICAOXFBDSCODE002,Social Code,Web,6/19/2017,6/19/2017,1,299.549
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Un-Sourced,CAM40819 1800SELECTTECH,Internal,Call Center Internal,6/19/2017,6/19/2017,1,412.162
Treadclimber,Treadclimber,Online Display,CAM50718 ICAODG2TDL1,TouchPoint Integrated Communications,Call Center Internal,6/19/2017,6/19/2017,1,2024.773
