Lead PI,Ad ID,Media Agency,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex HVT,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71559379,Online Shopping,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71559380,Online Shopping,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71559479,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71559579,Online Search,Web
Bowflex Home Gyms,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71559679,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71559779,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45910 DODADCEDL3,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71560181,Online Display,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71560281,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71560381,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71560382,Online Search,Web
Bowflex Max Trainer,CAM50898 P0717MENSFITRYAND,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71560681,Print,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71560682,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71560783,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71560883,Electronic - UnSourced,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71560983,Online Search,Web
Bowflex Selecttech Dumbbells,CAM40819 1800SELECTTECH,Internal,,8/13/2017,8/7/2017,71561083,Un-Sourced,Call Center Internal
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71561084,Online Search,Web
Bowflex Max Trainer,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71561184,Online Search,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71561185,Online Search,Web
Bowflex Max Trainer,CAM30796 SAWDOSG2G,Internal,,8/13/2017,8/7/2017,71561284,Online Search,Call Center Internal
Treadclimber,CAM30796 SAWDOSG2G,Internal,,8/13/2017,8/7/2017,71561285,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,8/13/2017,8/7/2017,71561286,Online Search,Call Center Internal
Bowflex Selecttech Dumbbells,CAM27401 DEFAULTADID,Internal,,8/13/2017,8/7/2017,71561390,Electronic - Short Form,Call Center Internal
Bowflex Home Gyms,CAM27401 DEFAULTADID,Internal,,8/13/2017,8/7/2017,71561391,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71561393,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71561593,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71561693,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71561793,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71561794,Online Search,Web
Bowflex Home Gyms,CAM27401 DEFAULTADID,Internal,,8/13/2017,8/7/2017,71561893,Electronic - Short Form,Call Center Internal
Bowflex Catalog,CAM39441 dosbigl1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71561994,Online Search,Web
Bowflex HVT,CAM50745 1800HVT,Internal,10/13/2017,8/13/2017,8/7/2017,71562194,Un-Sourced,Call Center Internal
Bowflex HVT,CAM51333 VH1*N60*HVTL*TIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71562195,Short Form,Call Center Internal
Bowflex HVT,CAM50958 DSEHSF17A,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71562196,Electronic - Short Form,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71562296,Electronic - UnSourced,Web
Treadclimber,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71562396,Online Shopping,Web
Bowflex Revolution,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71562496,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71562596,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71562597,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71562796,Electronic - Short Form,Web
Bowflex Selecttech Dumbbells,CAM30796 SAWDOSG2G,Internal,,8/13/2017,8/7/2017,71562896,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71562897,Online Search,Web
Bowflex Max Trainer,CAM51526 BRNGN60*M350STIC,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71562997,Short Form,Call Center Internal
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71562998,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71563098,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71563199,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71563298,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71563401,Online Display,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,8/13/2017,8/13/2017,8/7/2017,71563501,Un-Sourced,Call Center Internal
Results Elliptical,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71563503,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71563703,Online Search,Web
Bowflex Max Trainer,CAM51530 DISAN60*M350STIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71564003,Short Form,Call Center Internal
Bowflex HVT,CAM30796 SAWDOSG2G,Internal,,8/13/2017,8/7/2017,71564006,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,8/13/2017,8/7/2017,71564007,Online Search,Call Center Internal
Treadclimber,CAM44065 SAWDOSG2TMOBILE2,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71564009,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71564112,Online Shopping,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71564212,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71564312,Electronic - Short Form,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71564412,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71564512,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71564513,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45042 SAWDOFBIE,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71564612,Online Shopping,Call Center Internal
Treadclimber,CAM45042 SAWDOFBIE,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71564613,Online Shopping,Call Center Internal
Bowflex Home Gyms,CAM49655 SAWDOSG2GSL,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71564614,Online Search,Call Center Internal
Bowflex Selecttech Dumbbells,CAM49655 SAWDOSG2GSL,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71564615,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71564616,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71564716,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71564816,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM45042 SAWDOFBIE,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71564916,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM47987 DOXFBESCL001,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71564919,Online Social,Web
Bowflex Home Gyms,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71565020,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71565120,Electronic - UnSourced,Web
Results Treadmill,CAM50815 DODG2BXTDL2,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71565220,Online Display,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71565420,Electronic - Short Form,Web
Bowflex Max Trainer,CAM51585 HDLNN60*M350CTIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71565620,Short Form,Call Center Internal
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71565621,Electronic - Short Form,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71565721,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71565921,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71565922,Online Shopping,Web
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,,8/13/2017,8/7/2017,71566021,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM51585 HDLNN60*M350CTIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71566022,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51613 COMTN60*M350STIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71566124,Short Form,Call Center Internal
Treadclimber,CAM51536 FOXNN60*M350STIC,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71566125,Short Form,Call Center Internal
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71566126,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71566226,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71566227,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71566326,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71566327,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37428 dosg2dsl14,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71566426,Online Search,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,,8/13/2017,8/7/2017,71566626,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM45327 1800MAXTRAINER,Internal,,8/13/2017,8/7/2017,71566627,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71566628,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71566728,Electronic - UnSourced,Web
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71566928,Online Search,Web
Bowflex Max Trainer,CAM51537 HICNN60*M350STIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71567028,Short Form,Call Center Internal
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71567129,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71567229,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37432 dosg2dsl18,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71567330,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71567733,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71567833,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71567935,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71567936,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71568037,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71568139,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71568540,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71568739,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71568839,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37432 dosg2dsl18,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71568940,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71569040,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71569140,Online Search,Web
Bowflex Max Trainer,CAM51584 HDLNN60*M350STIC,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71569240,Short Form,Call Center Internal
Bowflex HVT,CAM50958 DSEHSF17A,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71569241,Electronic - Short Form,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71569341,Electronic - UnSourced,Web
Bowflex HVT,CAM51333 VH1*N60*HVTL*TIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71569441,Short Form,Call Center Internal
Bowflex Brand,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71569442,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71569542,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71569543,Electronic - Short Form,Web
Bowflex Max Trainer,CAM51525 LAFFN60*M350STIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71569642,Short Form,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71569643,Online Search,Call Center Internal
Treadclimber,CAM44223 SAWDOSBIE,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71569644,Online Search,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71569645,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71569646,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71569745,Online Search,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,8/13/2017,8/13/2017,8/7/2017,71569845,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM30796 SAWDOSG2G,Internal,,8/13/2017,8/7/2017,71569945,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,8/13/2017,8/7/2017,71569946,Online Search,Call Center Internal
Bowflex HVT,CAM51333 VH1*N60*HVTL*TIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71570147,Short Form,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71570148,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71570149,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71570348,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71570349,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71570350,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71570449,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71570549,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71570649,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71570650,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71570750,Online Search,Web
Treadclimber,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71570850,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37428 dosg2dsl14,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71570950,Online Search,Web
Results Treadmill,CAM50816 DOFG2BXTFEED1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71571050,Online Shopping,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71571150,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71571250,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,8/13/2017,8/13/2017,8/7/2017,71571450,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,8/13/2017,8/13/2017,8/7/2017,71571650,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71571750,Online Shopping,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71571850,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71571851,Electronic - UnSourced,Web
Bowflex Revolution,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71571950,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71572050,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71572051,Online Search,Web
Bowflex HVT,CAM50808 DOFG2HFEED1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71572150,Online Shopping,Web
Treadclimber,CAM34644 dodg2gdl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71572250,Online Display,Web
Bowflex Max Trainer,CAM51705 CHARN60**M350STIC,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71572350,Short Form,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71572351,Electronic - UnSourced,Web
Bowflex Catalog,CAM30755 dosg2gsl1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71572352,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71572451,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71572551,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71572651,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71572751,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71572851,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71572951,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71573051,Online Display,Web
Bowflex Max Trainer,CAM48985 DOSBIESL10,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71573153,Online Search,Web
Treadclimber,CAM48985 DOSBIESL10,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71573154,Online Search,Web
Bowflex HVT,CAM50805 DODTABOOLAHDL1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71573253,Online Display,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71573354,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71573355,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71573356,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71573454,Online Search,Web
