FG Item,FG LifeCycle Status,FG Inactive,Warranty Item,FG Internal ID,Warranty Part LifeCycle Status,Warranty Part Inactive,Warranty Period,Warranty Part On Hand,Warranty Part On Order
"400000 Kit, Ppro 210#",,F,90640 Mult-T-Curl  Tricep Press Bar,5580,In Production,F,3650,,
"400000 Kit, Ppro 210#",,F,95000 Mult - T-Bar Strap,5580,,F,3650,75,
"400000 Kit, Ppro 210#",,F,95141 Mult - 7 T-Nut Seat,5580,In Production,F,3650,1,
"400000 Kit, Ppro 210#",,F,51324 Ppro Pulley Kit (Pair),5580,,F,3650,57,
"400000 Kit, Ppro 210#",,F,"90268 Pin, 1/4 L",5580,,F,3650,426,
"400000 Kit, Ppro 210#",,F,95037 Bowflex Power Pro Rod Base,5580,In Production,F,3650,201,110
"400000 Kit, Ppro 210#",,F,95704 Rod  50#  Tested w  S&C,5580,In Production,F,36500,2824,1700
"400000 Kit, Ppro 210#",,F,95703 Rod  30# Tested w  S&C,5580,In Production,F,36500,1351,900
"400000 Kit, Ppro 210#",,F,95702 Rod 10# Tested w  S&C,5580,In Production,F,36500,910,1725
"400000 Kit, Ppro 210#",,F,95701 Rod  5# Tested W  S&C,5580,In Production,F,36500,1224,30
"400000 Kit, Ppro 210#",,F,90228 Mult - #8x0.50 PHM Screw,5580,In Production,F,3650,4746,60
"400000 Kit, Ppro 210#",,F,80208 Power Rod End Cap  5#,5580,In Production,F,3650,46,
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,10083 Cap  End 1-3 4x 2,2080,In Production,F,90,1074,
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,000-2499 U2 16mm Tube End Cap,2080,In Production,F,90,476,
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,"000-3371 U2 1.75"" x 3"" Flat Tube Plug",2080,In Production,F,90,155,50
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,000-3891 Mult - SM Plate Decal,2080,In Production,F,90,17,
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,000-4004 Revo PVC Foot Cap,2080,,F,90,226,15
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,001-7398 Bar Towel,2080,,F,90,,
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,001-7460 Manual  Owners bag-flex Holder,2080,,F,42,212,
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,001-7538 BAR HOOK KIT,2080,,F,90,39,
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,001-7539 Kit  Washer hook (2 hooks),2080,,F,90,9,
001-7477 Ultimate 2 Accessory Rack,EOL - Use Up Stock,T,001-7471 HARDWARE CARD - U2 RACK,2080,,F,90,10,
001-8160 Singlepack  5.1 STech Bench,,T,12914 51B Bench Frame,2163,In Production,F,10950,8,10
001-8160 Singlepack  5.1 STech Bench,,T,000-2499 U2 16mm Tube End Cap,2163,In Production,F,365,476,
001-8160 Singlepack  5.1 STech Bench,,T,001-8133 Bumper  Rubber,2163,,F,365,23,
001-8160 Singlepack  5.1 STech Bench,,T,12956 PIN ASSY  BALL DETENT W  SCRW,2163,,F,365,10,
001-8160 Singlepack  5.1 STech Bench,,T,"12357 Cap, 3""x1-3/4"" Tube End",2163,In Production,F,365,29,25
001-8160 Singlepack  5.1 STech Bench,,T,000-6191 Weldment  Seat Support,2163,,F,10950,70,
001-8160 Singlepack  5.1 STech Bench,,T,12963 5.1B Bronze Main Pivot Bushing,2163,,F,365,6,
001-8160 Singlepack  5.1 STech Bench,,T,12972 51B Seat Adjustment Piece,2163,,F,365,9,
001-8160 Singlepack  5.1 STech Bench,,T,12962 CAP  END 40 X 20mm,2163,In Production,F,365,9,25
001-8160 Singlepack  5.1 STech Bench,,T,12942 51B Back Adjustment Assy,2163,,F,365,18,
001-8160 Singlepack  5.1 STech Bench,,T,12966 Back Adjust Bronze Bushing,2163,EOL - Use Up Stock,F,365,,
001-8160 Singlepack  5.1 STech Bench,,T,12980 SLEEVE  BACK ADJUSTMENT,2163,,F,365,65,
001-8160 Singlepack  5.1 STech Bench,,T,"12949 Shaft, 51B 2 3/4"" Seat Handle",2163,,F,365,13,
001-8160 Singlepack  5.1 STech Bench,,T,12950 51B Seat Handle Knob,2163,,F,365,6,
001-8160 Singlepack  5.1 STech Bench,,T,12934 51B Rear Stabilizer,2163,In Production,F,365,17,
001-8160 Singlepack  5.1 STech Bench,,T,12935 Mult Foot Peg,2163,,F,365,63,
001-8160 Singlepack  5.1 STech Bench,,T,000-4401 Decal  BFX Polydome,2163,,F,365,42,
001-8160 Singlepack  5.1 STech Bench,,T,10813 Mult 2x3 Foot w Screw,2163,In Production,F,365,55,
001-8160 Singlepack  5.1 STech Bench,,T,12936 51B Front Stabilizer,2163,In Production,F,10950,8,
001-8160 Singlepack  5.1 STech Bench,,T,12943 LEG HLD DOWN ASSY  SLTTECH BNC,2163,,F,365,42,
001-8160 Singlepack  5.1 STech Bench,,T,10083 Cap  End 1-3 4x 2,2163,In Production,F,365,1074,
001-8160 Singlepack  5.1 STech Bench,,T,"95206 Tube, 3/4"" Chrome Roller",2163,In Production,F,365,88,75
001-8160 Singlepack  5.1 STech Bench,,T,"50304 ROLLER FOAM  L=175MM 7""",2163,In Production,F,365,294,300
001-8160 Singlepack  5.1 STech Bench,,T,001-8144 Seat  Bottom 5.1 ST Bench,2163,,F,365,148,15
001-8160 Singlepack  5.1 STech Bench,,T,001-8091 Pad  Back 5.1 Selecttech Bench,2163,,F,365,106,5
001-8160 Singlepack  5.1 STech Bench,,T,001-8092 Pad  Head 5.1 Selecttech Bench,2163,,F,365,43,
001-8160 Singlepack  5.1 STech Bench,,T,"90218 Cap, 3/4 End",2163,In Production,F,365,1724,
001-8160 Singlepack  5.1 STech Bench,,T,001-8149 Hardware  Selecttech Bench,2163,,F,365,92,35
001-8160 Singlepack  5.1 STech Bench,,T,12938 WHEEL 5.1 BENCH W HRDWRE,2163,,F,365,11,5
001-8160 Singlepack  5.1 STech Bench,,T,000-6189 MANUAL  ASSY 5.1 SLTTECH BNCH,2163,,F,42,22,
003-9067 UNI UB100 Bench,In Production,F,003-8715 Roller Pad - UB,3151,,F,30,15,
003-9067 UNI UB100 Bench,In Production,F,003-8806 HW Bag - UB100,3151,EOL - Use Up Stock,F,30,,
003-9068 UNI UB200 Bench,EOL - Use Up Stock,F,001-6830 Universal 2LB Dumbbell,3152,,F,30,,
003-9068 UNI UB200 Bench,EOL - Use Up Stock,F,001-6831 Universal 4LB Dumbbell,3152,,F,30,,
003-9068 UNI UB200 Bench,EOL - Use Up Stock,F,003-8766 Stabilizer Feet UB200 UB300,3152,,F,30,15,
003-9069 UNI UB300 Bench,In Production,F,003-8715 Roller Pad - UB,3153,,F,30,15,
003-9069 UNI UB300 Bench,In Production,F,003-8760 Seatback UB300,3153,,F,30,16,
003-9069 UNI UB300 Bench,In Production,F,003-8766 Stabilizer Feet UB200 UB300,3153,,F,30,15,
003-9069 UNI UB300 Bench,In Production,F,003-8795 Seat - UB300,3153,In Production,F,30,57,
003-9069 UNI UB300 Bench,In Production,F,003-8808 HW Bag - UB300,3153,,F,30,17,25
003-9245 445 Dumbbell  Stand,,F,003-9242 HW Pack ST445 Stand,3158,In Production,F,365,80,
004-3844 445 Dumbbell  Single,,F,003-4621 Base  ST445,3357,,F,365,43,
004-3844 445 Dumbbell  Single,,F,"003-8848 Weight Plate, 2.5LB Comolded",3357,,F,365,55,
004-3844 445 Dumbbell  Single,,F,"003-8858 Weight Plate, 5 LB Comolded",3357,,F,365,55,
004-3844 445 Dumbbell  Single,,F,"003-8868 Weight Plate, 7.5LB Comolded",3357,,F,365,44,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,11752 DVD Manual Assy Ult W Poster,8562,,F,42,20,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10005 Ult Squat Platform,8562,In Production,F,3650,,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10006 Ult Cable Clip,8562,In Production,F,3650,15,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10083 Cap  End 1-3 4x 2,8562,In Production,F,3650,1074,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90211 Mult - Transport Wheel Assy,8562,In Production,F,3650,386,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,11654 Ult Round Velcro Pad,8562,,F,3650,88,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10031 Ult Upper Lat Tower,8562,In Production,F,3650,5,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10032 Ult Hook Bracket,8562,,F,3650,,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,"10037 Ult 50"" Bent Lat Bar Assy",8562,In Production,F,3650,17,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10089 Mult Lat Cable Storage Grommet,8562,In Production,F,3650,10,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10198 Mult - 3 8 X 3-1 2 J-Bolt,8562,,F,3650,55,25
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,50334 SNAPHOOK LARGE MULTI USE,8562,In Production,F,3650,320,250
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,20205 Pro 1x14-20Ga Round End Cap,8562,,F,3650,35,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10389 Ult Lat Tower Pulley Tube,8562,In Production,F,3650,31,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10078 Ult Lat Hardware Card,8562,In Production,F,3650,86,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,51353 Ult Lat Cable Assembly,8562,,F,3650,168,25
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10014 Ult Seat Rail,8562,,F,3650,10,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10017 Ult Upholstered Seat,8562,In Production,F,3650,46,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10022 Ult Rail Spacer Tube,8562,,F,3650,,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90160 Mult - Bench Cup w Screw,8562,,F,3650,7,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,80179 Mult - Seat Hinge,8562,,F,3650,118,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90217 Belt  Leg Press,8562,,F,3650,66,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,"90650 BAR W FOAM GRIPS BLACK  48""",8562,In Production,F,3650,87,40
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,"11418 Cap  1"" Flat Round End",8562,In Production,F,3650,343,10
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,11809 Ult Bench Warranty Kit,8562,,F,3650,,6
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,12340 Ppro Seat Bracket Wrnty Assy,8562,,F,3650,336,600
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10165 Mult-Blk 1 4-20x1 PPHM Screw,8562,,F,3650,68,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,11824 Mult-Bench Hinge Brkt w Screws,8562,,F,3650,120,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,51360 Ult Pulley Kit (Pair),8562,In Production,F,3650,4,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10011 Ult Adjustable Pulley Assembly,8562,In Production,F,3650,62,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10016 Ult Back Incline Bench Rest,8562,,F,3650,11,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10036 Ult Rear Leg,8562,In Production,F,3650,13,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10073 Mult Adjustable Squat Strap,8562,In Production,F,3650,166,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10074 Ult Locking Knob,8562,In Production,F,3650,113,50
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10075 Ult Lrge Threaded Knob 2-1 4x1,8562,In Production,F,3650,349,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10145 Ult Left Pulley Slide Assembly,8562,In Production,F,3650,29,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10146 Ult Right Pulley Slide Assy,8562,,F,3650,14,10
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90220 Mult - Rod Hook,8562,In Production,F,3650,122,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90222 Mult - Seat Rail End Cap,8562,,F,3650,318,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90640 Mult-T-Curl  Tricep Press Bar,8562,In Production,F,3650,,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,95000 Mult - T-Bar Strap,8562,,F,3650,75,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,"90185 Cap, 1 1/2 14GA. Black End",8562,,F,3650,80,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10191 Mult - Black 1 4x5 SHC Screw,8562,,F,3650,35,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,11852 Cable  Rod Warranty Kit  Pr,8562,In Production,F,3650,1247,400
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,17100 Handgrip  Adj (Pair),8562,In Production,F,3650,2064,800
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,11804 Ult Incline Support Bracket,8562,In Production,F,3650,89,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90177 Pulley  Generic,8562,In Production,F,3650,139,500
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10053 Ult Leg Ext Seat,8562,,F,3650,,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10054 Ult Leg Ext Pivot Tube,8562,,F,3650,12,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,51492 Ult Leg Ext Cable,8562,,F,3650,43,40
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,51481 Ult Leg Ext Pulley Kit,8562,,F,3650,27,5
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10059 Ult Leg Ext Hardware Card,8562,In Production,F,3650,97,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90161 Knob   Threaded 3 8x1.25,8562,,F,3650,1124,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90189 Mult - Leg Ext Pivot Bushing,8562,In Production,F,3650,1137,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,"90218 Cap, 3/4 End",8562,In Production,F,3650,1724,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,"95206 Tube, 3/4"" Chrome Roller",8562,In Production,F,3650,88,75
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,"90150 Screw, 1/4-20x3/4 PPHM",8562,,F,3650,13,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10813 Mult 2x3 Foot w Screw,8562,In Production,F,3650,55,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,"50304 ROLLER FOAM  L=175MM 7""",8562,In Production,F,3650,294,300
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,51490 Ult Warranty Leg Ext Box,8562,,F,3650,,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,17397 Ult Hardware Card,8562,In Production,F,3650,35,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,10046 Rod Pack Holder,8562,In Production,F,3650,58,200
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,90228 Mult - #8x0.50 PHM Screw,8562,In Production,F,3650,4746,60
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,95701 Rod  5# Tested W  S&C,8562,In Production,F,36500,1224,30
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,80208 Power Rod End Cap  5#,8562,In Production,F,3650,46,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,95702 Rod 10# Tested w  S&C,8562,In Production,F,36500,910,1725
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,80209 Power Rod End Cap 10#,8562,In Production,F,3650,76,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,95703 Rod  30# Tested w  S&C,8562,In Production,F,36500,1351,900
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,80210 Power Rod End Cap 30#,8562,In Production,F,3650,410,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,95704 Rod  50#  Tested w  S&C,8562,In Production,F,36500,2824,1700
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,80211 Power Rod End Cap 50#,8562,In Production,F,3650,1154,
"100000 Kit, Ult XTLU",EOL - Use Up Stock,F,51350 Ult Squat Cable Assembly,8562,,F,3650,22,50
"100001 Kit, Ult XTU",Obsolete,F,11752 DVD Manual Assy Ult W Poster,8564,,F,42,20,
"100001 Kit, Ult XTU",Obsolete,F,10005 Ult Squat Platform,8564,In Production,F,3650,,
"100001 Kit, Ult XTU",Obsolete,F,10006 Ult Cable Clip,8564,In Production,F,3650,15,
"100001 Kit, Ult XTU",Obsolete,F,10083 Cap  End 1-3 4x 2,8564,In Production,F,3650,1074,
"100001 Kit, Ult XTU",Obsolete,F,90211 Mult - Transport Wheel Assy,8564,In Production,F,3650,386,
"100001 Kit, Ult XTU",Obsolete,F,11654 Ult Round Velcro Pad,8564,,F,3650,88,
"100001 Kit, Ult XTU",Obsolete,F,50334 SNAPHOOK LARGE MULTI USE,8564,In Production,F,3650,320,250
"100001 Kit, Ult XTU",Obsolete,F,10014 Ult Seat Rail,8564,,F,3650,10,
"100001 Kit, Ult XTU",Obsolete,F,10017 Ult Upholstered Seat,8564,In Production,F,3650,46,
"100001 Kit, Ult XTU",Obsolete,F,10022 Ult Rail Spacer Tube,8564,,F,3650,,
"100001 Kit, Ult XTU",Obsolete,F,90160 Mult - Bench Cup w Screw,8564,,F,3650,7,
"100001 Kit, Ult XTU",Obsolete,F,80179 Mult - Seat Hinge,8564,,F,3650,118,
"100001 Kit, Ult XTU",Obsolete,F,90217 Belt  Leg Press,8564,,F,3650,66,
"100001 Kit, Ult XTU",Obsolete,F,"90650 BAR W FOAM GRIPS BLACK  48""",8564,In Production,F,3650,87,40
"100001 Kit, Ult XTU",Obsolete,F,"11418 Cap  1"" Flat Round End",8564,In Production,F,3650,343,10
"100001 Kit, Ult XTU",Obsolete,F,11809 Ult Bench Warranty Kit,8564,,F,3650,,6
"100001 Kit, Ult XTU",Obsolete,F,12340 Ppro Seat Bracket Wrnty Assy,8564,,F,3650,336,600
"100001 Kit, Ult XTU",Obsolete,F,10165 Mult-Blk 1 4-20x1 PPHM Screw,8564,,F,3650,68,
"100001 Kit, Ult XTU",Obsolete,F,11824 Mult-Bench Hinge Brkt w Screws,8564,,F,3650,120,
"100001 Kit, Ult XTU",Obsolete,F,51360 Ult Pulley Kit (Pair),8564,In Production,F,3650,4,
"100001 Kit, Ult XTU",Obsolete,F,10011 Ult Adjustable Pulley Assembly,8564,In Production,F,3650,62,
"100001 Kit, Ult XTU",Obsolete,F,10016 Ult Back Incline Bench Rest,8564,,F,3650,11,
"100001 Kit, Ult XTU",Obsolete,F,10036 Ult Rear Leg,8564,In Production,F,3650,13,
"100001 Kit, Ult XTU",Obsolete,F,10073 Mult Adjustable Squat Strap,8564,In Production,F,3650,166,
"100001 Kit, Ult XTU",Obsolete,F,10074 Ult Locking Knob,8564,In Production,F,3650,113,50
"100001 Kit, Ult XTU",Obsolete,F,10075 Ult Lrge Threaded Knob 2-1 4x1,8564,In Production,F,3650,349,
"100001 Kit, Ult XTU",Obsolete,F,10145 Ult Left Pulley Slide Assembly,8564,In Production,F,3650,29,
"100001 Kit, Ult XTU",Obsolete,F,10146 Ult Right Pulley Slide Assy,8564,,F,3650,14,10
"100001 Kit, Ult XTU",Obsolete,F,90220 Mult - Rod Hook,8564,In Production,F,3650,122,
"100001 Kit, Ult XTU",Obsolete,F,90222 Mult - Seat Rail End Cap,8564,,F,3650,318,
