Actual Ship/Receipt Date,FG Item,FG Item Internal ID,Inactive
1/31/2013,100198 BFX TC10,46735,F
1/31/2013,100215 BFX TC5,46723,F
1/31/2013,100238 SCH 250 Recumbent Bike,46738,F
1/31/2013,10293 TRC Machine Mat,46733,F
1/31/2013,100198 BFX TC10,46733,F
1/31/2013,100131 BFX 552 Dumbbell Kit,46729,F
1/31/2013,100198 BFX TC10,46729,F
1/31/2013,10293 TRC Machine Mat,46729,F
1/31/2013,100198 BFX TC10,46719,F
1/31/2013,100215 BFX TC5,46736,F
1/31/2013,100215 BFX TC5,46728,F
1/31/2013,001-3381 Preacher Curl Attach  Xtr X2,46731,F
1/31/2013,000-7262 Xtreme 60x48 Mat Boxed,46731,F
1/31/2013,100070 BFX Xtreme 2 SE,46731,F
1/31/2013,10071 Rod Pack  410# upgrade,46731,F
1/31/2013,93067 LUBE N WALK TREAD LUBE KIT,46727,F
1/31/2013,10293 TRC Machine Mat,46727,F
1/31/2013,100198 BFX TC10,46727,F
1/31/2013,004-5566 Neoprene Waist Trim Belt -L XL,46739,F
1/31/2013,100198 BFX TC10,46724,F
1/31/2013,10293 TRC Machine Mat,46724,F
1/31/2013,100198 BFX TC10,46740,F
1/31/2013,100339 BOWFLEX UPPERCUT KIT,46718,F
1/31/2013,002-4629 NLS Push Up Bars,46718,T
1/31/2013,93067 LUBE N WALK TREAD LUBE KIT,46730,F
1/31/2013,100199 BFX TC20,46730,F
1/31/2013,10293 TRC Machine Mat,46730,F
1/31/2013,002-4629 NLS Push Up Bars,46743,T
1/31/2013,004-5546 Jump Rope,46743,F
1/31/2013,100215 BFX TC5,46737,F
1/31/2013,100248 Core Body Reformer Sales Kit,46742,T
1/31/2013,100248 Core Body Reformer Sales Kit,46734,T
1/31/2013,100198 BFX TC10,46722,F
1/31/2013,93067 LUBE N WALK TREAD LUBE KIT,46722,F
1/31/2013,10293 TRC Machine Mat,46722,F
1/31/2013,100131 BFX 552 Dumbbell Kit,46721,F
12/31/2012,100198 BFX TC10,48195,F
12/31/2012,93067 LUBE N WALK TREAD LUBE KIT,48195,F
12/31/2012,10293 TRC Machine Mat,48202,F
12/31/2012,100198 BFX TC10,48202,F
12/31/2012,100198 BFX TC10,48206,F
12/31/2012,10293 TRC Machine Mat,48206,F
12/31/2012,100153 Bowflex Classic,48193,F
12/31/2012,100248 Core Body Reformer Sales Kit,48198,T
12/31/2012,004-2562 CBR PINK COVER,48198,T
12/31/2012,10293 TRC Machine Mat,48199,F
12/31/2012,100198 BFX TC10,48199,F
12/31/2012,140003 BFX 3.1 SelectTech Bench SinglePack,48216,F
12/31/2012,710000 BFX 1090 Dumbbell Kit,48216,F
12/31/2012,710000 BFX 1090 Dumbbell Kit,48217,F
12/31/2012,100300 BFX SelectTech Stand,48217,F
12/31/2012,10293 TRC Machine Mat,48190,F
12/31/2012,100198 BFX TC10,48190,F
12/31/2012,10293 TRC Machine Mat,48192,F
12/31/2012,100198 BFX TC10,48192,F
12/31/2012,100215 BFX TC5,48204,F
12/31/2012,100199 BFX TC20,48191,F
12/31/2012,10293 TRC Machine Mat,48191,F
12/31/2012,100248 Core Body Reformer Sales Kit,48194,T
12/31/2012,100248 Core Body Reformer Sales Kit,48200,T
12/31/2012,93067 LUBE N WALK TREAD LUBE KIT,48196,F
12/31/2012,100199 BFX TC20,48196,F
12/31/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,48197,F
12/21/2012,100131 BFX 552 Dumbbell Kit,47170,F
12/21/2012,100131 BFX 552 Dumbbell Kit,47203,F
12/21/2012,100215 BFX TC5,47166,F
12/21/2012,100199 BFX TC20,47163,F
12/21/2012,10293 TRC Machine Mat,47163,F
12/21/2012,100199 BFX TC20,47197,F
12/21/2012,93067 LUBE N WALK TREAD LUBE KIT,47197,F
12/21/2012,160000 BFX Revolution,47164,F
12/21/2012,000-4275 BFX Revo 80# Resistance Upgrade,47164,F
12/21/2012,001-3660 E-Z Curl Bar,47169,F
12/21/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,47169,F
12/21/2012,95146 BFX 310# Rod Upgrade,47217,F
12/21/2012,10071 Rod Pack  410# upgrade,47217,F
12/21/2012,100070 BFX Xtreme 2 SE,47217,F
12/21/2012,100250 SCH AD6 Bike,47191,F
12/21/2012,100253 SCH AD6 Reading Rack,47191,F
12/21/2012,140004 BFX 5.1 SelectTech Bench SinglePack,47215,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47215,F
12/21/2012,"10172 BFX 79x37"" Mat",47153,F
12/21/2012,140003 BFX 3.1 SelectTech Bench SinglePack,47153,F
12/21/2012,"10172 BFX 79x37"" Mat",47157,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47157,F
12/21/2012,140004 BFX 5.1 SelectTech Bench SinglePack,47157,F
12/21/2012,100300 BFX SelectTech Stand,47157,F
12/21/2012,100131 BFX 552 Dumbbell Kit,47194,F
12/21/2012,100300 BFX SelectTech Stand,47194,F
12/21/2012,100131 BFX 552 Dumbbell Kit,47202,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47174,F
12/21/2012,100300 BFX SelectTech Stand,47174,F
12/21/2012,100248 Core Body Reformer Sales Kit,47178,T
12/21/2012,100300 BFX SelectTech Stand,47167,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47167,F
12/21/2012,10293 TRC Machine Mat,47162,F
12/21/2012,100215 BFX TC5,47162,F
12/21/2012,140004 BFX 5.1 SelectTech Bench SinglePack,47199,F
12/21/2012,100198 BFX TC10,47161,F
12/21/2012,000-4275 BFX Revo 80# Resistance Upgrade,47210,F
12/21/2012,160000 BFX Revolution,47210,F
12/21/2012,000-7262 Xtreme 60x48 Mat Boxed,47190,F
12/21/2012,100070 BFX Xtreme 2 SE,47190,F
12/21/2012,100215 BFX TC5,47158,F
12/21/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,47205,F
12/21/2012,004-4479 L - Bowflex White W Bamboo Rac,47212,F
12/21/2012,004-4485 XXL - Bowflex White M Sleevele,47212,F
12/21/2012,100198 BFX TC10,47159,F
12/21/2012,100198 BFX TC10,47173,F
12/21/2012,100198 BFX TC10,47179,F
12/21/2012,100198 BFX TC10,47201,F
12/21/2012,10293 TRC Machine Mat,47201,F
12/21/2012,100215 BFX TC5,47183,F
12/21/2012,100215 BFX TC5,47176,F
12/21/2012,10293 TRC Machine Mat,47176,F
12/21/2012,100199 BFX TC20,47207,F
12/21/2012,001-3660 E-Z Curl Bar,47154,F
12/21/2012,001-3381 Preacher Curl Attach  Xtr X2,47154,F
12/21/2012,100194 SCH A20 Recumbent Bike,47214,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47165,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47177,F
12/21/2012,100300 BFX SelectTech Stand,47177,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47208,F
12/21/2012,100153 Bowflex Classic,47195,F
12/21/2012,100215 BFX TC5,47211,F
12/21/2012,100199 BFX TC20,47188,F
12/21/2012,93067 LUBE N WALK TREAD LUBE KIT,47188,F
12/21/2012,004-5549 Resistance Bands - light,47192,F
12/21/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,47192,F
12/21/2012,3940015 BFX 7 Series Treadmill,47184,F
12/21/2012,"000-3667 BFX Machine Mat 37.5 x 99.5""",47216,F
12/21/2012,000-4275 BFX Revo 80# Resistance Upgrade,47216,F
12/21/2012,160000 BFX Revolution,47216,F
12/21/2012,100179 SCH 860 Treadmill,47206,F
12/21/2012,100236 SCH 120 Upright Bike,47172,F
12/21/2012,100235 SCH 220 Recumbent Bike,47181,F
12/21/2012,100172 NLS R514 Recumbent Bike,47180,F
12/21/2012,100131 BFX 552 Dumbbell Kit,47213,F
12/21/2012,100215 BFX TC5,47175,F
12/21/2012,100215 BFX TC5,47189,F
12/21/2012,100314 PEAK FIT SYSTEM KIT,47171,F
12/21/2012,100199 BFX TC20,47155,F
12/21/2012,100199 BFX TC20,47196,F
12/21/2012,100248 Core Body Reformer Sales Kit,47186,T
12/21/2012,95146 BFX 310# Rod Upgrade,47193,F
12/21/2012,100194 SCH A20 Recumbent Bike,47198,F
12/21/2012,004-0605 POWERbreathe IRONMAN Plus (M),47185,F
12/21/2012,100153 Bowflex Classic,47204,F
12/21/2012,100300 BFX SelectTech Stand,47187,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47187,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47156,F
12/21/2012,710000 BFX 1090 Dumbbell Kit,47152,F
12/20/2012,100248 Core Body Reformer Sales Kit,47118,T
12/20/2012,100215 BFX TC5,47120,F
12/20/2012,001-3661 Tricep Rope,47146,F
12/20/2012,95146 BFX 310# Rod Upgrade,47146,F
12/20/2012,93067 LUBE N WALK TREAD LUBE KIT,47121,F
12/20/2012,100198 BFX TC10,47121,F
12/20/2012,10293 TRC Machine Mat,47121,F
12/20/2012,10293 TRC Machine Mat,47138,F
12/20/2012,100198 BFX TC10,47138,F
12/20/2012,140004 BFX 5.1 SelectTech Bench SinglePack,47151,F
12/20/2012,710000 BFX 1090 Dumbbell Kit,47151,F
12/20/2012,100198 BFX TC10,47119,F
12/20/2012,100198 BFX TC10,47143,F
12/20/2012,710000 BFX 1090 Dumbbell Kit,47129,F
12/20/2012,100300 BFX SelectTech Stand,47129,F
12/20/2012,100153 Bowflex Classic,47136,F
12/20/2012,100199 BFX TC20,47123,F
12/20/2012,90710 Schwinn Airdyne Reading Stand,47147,T
12/20/2012,98315 SCH MAT W/LOGO 3'X4',47137,F
12/20/2012,100172 NLS R514 Recumbent Bike,47137,F
12/20/2012,100070 BFX Xtreme 2 SE,47144,F
12/20/2012,90710 Schwinn Airdyne Reading Stand,47135,T
12/20/2012,004-5544 Sit Up Bar,47128,F
12/20/2012,004-5545 Bowflex Ab Ball,47128,F
12/20/2012,004-5563 Men's Weighted Vest,47128,F
12/20/2012,004-5545 Bowflex Ab Ball,47122,F
12/20/2012,100189 UNI KBK510,47122,F
12/20/2012,140004 BFX 5.1 SelectTech Bench SinglePack,47125,F
12/20/2012,100131 BFX 552 Dumbbell Kit,47125,F
12/20/2012,100131 BFX 552 Dumbbell Kit,47150,F
12/20/2012,100198 BFX TC10,47126,F
12/20/2012,100198 BFX TC10,47142,F
12/20/2012,100215 BFX TC5,47148,F
12/20/2012,100161 NLS E514 Elliptical,47133,F
12/20/2012,90710 Schwinn Airdyne Reading Stand,47132,T
12/20/2012,003-9067 UNI UB100 Bench,47139,F
12/20/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,47145,F
12/20/2012,001-3661 Tricep Rope,47145,F
12/20/2012,001-3660 E-Z Curl Bar,47141,F
12/20/2012,100215 BFX TC5,47134,F
12/20/2012,100198 BFX TC10,47127,F
12/20/2012,100198 BFX TC10,47131,F
12/20/2012,100198 BFX TC10,47149,F
12/20/2012,10293 TRC Machine Mat,47149,F
12/20/2012,100179 SCH 860 Treadmill,47130,F
12/20/2012,003-9069 UNI UB300 Bench,47124,F
12/14/2012,10293 TRC Machine Mat,48106,F
12/14/2012,93067 LUBE N WALK TREAD LUBE KIT,48106,F
12/14/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,48050,F
12/14/2012,93067 LUBE N WALK TREAD LUBE KIT,48030,F
12/14/2012,004-0631 NLS Heart Rate Monitor - sm,48047,T
12/14/2012,10293 TRC Machine Mat,48018,F
12/14/2012,100131 BFX 552 Dumbbell Kit,48109,F
12/14/2012,100300 BFX SelectTech Stand,48109,F
12/14/2012,PK1096 H/R Transmitter Kit,48082,F
12/14/2012,10071 Rod Pack  410# upgrade,48107,F
12/9/2012,001-7476 Revolution Accessory Rack,46511,F
12/9/2012,160000 BFX Revolution,46511,F
12/9/2012,000-4275 BFX Revo 80# Resistance Upgrade,46511,F
12/9/2012,100199 BFX TC20,46517,F
12/9/2012,100198 BFX TC10,46504,F
12/9/2012,95146 BFX 310# Rod Upgrade,46499,F
12/9/2012,100070 BFX Xtreme 2 SE,46499,F
12/9/2012,100198 BFX TC10,46513,F
12/9/2012,100198 BFX TC10,46497,F
12/9/2012,10293 TRC Machine Mat,46497,F
12/9/2012,93067 LUBE N WALK TREAD LUBE KIT,46502,F
12/9/2012,100198 BFX TC10,46502,F
12/9/2012,100198 BFX TC10,46515,F
12/9/2012,100198 BFX TC10,46506,F
11/16/2012,004-2566 CBR VIOLET COVER,46824,T
11/16/2012,100248 Core Body Reformer Sales Kit,46824,T
11/16/2012,100199 BFX TC20,46861,F
11/16/2012,003-9067 UNI UB100 Bench,46847,F
11/16/2012,003-9067 UNI UB100 Bench,46916,F
11/16/2012,004-5550 Resistance Bands - medium,46831,F
11/16/2012,003-9068 UNI UB200 Bench,46831,F
11/16/2012,004-5545 Bowflex Ab Ball,46823,F
11/16/2012,002-4629 NLS Push Up Bars,46823,T
11/16/2012,100181 NLS T516 Treadmill,46833,F
11/16/2012,100131 BFX 552 Dumbbell Kit,46828,F
11/16/2012,100300 BFX SelectTech Stand,46828,F
11/16/2012,100198 BFX TC10,46845,F
11/16/2012,100198 BFX TC10,46857,F
11/16/2012,10293 TRC Machine Mat,46857,F
11/16/2012,001-3381 Preacher Curl Attach  Xtr X2,46837,F
11/16/2012,100070 BFX Xtreme 2 SE,46837,F
11/16/2012,95146 BFX 310# Rod Upgrade,46837,F
11/16/2012,95146 BFX 310# Rod Upgrade,46830,F
11/16/2012,004-5550 Resistance Bands - medium,46903,F
11/16/2012,004-5549 Resistance Bands - light,46903,F
11/16/2012,004-5545 Bowflex Ab Ball,46903,F
11/16/2012,004-5551 Resistance Bands - heavy,46903,F
11/16/2012,10293 TRC Machine Mat,46821,F
11/16/2012,10293 TRC Machine Mat,46853,F
11/16/2012,100198 BFX TC10,46853,F
11/16/2012,100233 SCH IC2 Bike,46859,F
11/16/2012,100131 BFX 552 Dumbbell Kit,46901,F
11/16/2012,100070 BFX Xtreme 2 SE,46820,F
11/16/2012,004-5544 Sit Up Bar,46835,F
11/16/2012,005-0027 Bowflex BMI Daily Calorie Scale,46835,F
11/16/2012,004-5546 Jump Rope,46818,F
11/16/2012,10293 TRC Machine Mat,46867,F
11/16/2012,100198 BFX TC10,46867,F
11/16/2012,11963 Hot Cold Knee Wrap L XL,46836,F
11/16/2012,002-4629 NLS Push Up Bars,46849,T
11/16/2012,100198 BFX TC10,46905,F
11/16/2012,100070 BFX Xtreme 2 SE,46909,F
11/16/2012,000-7262 Xtreme 60x48 Mat Boxed,46909,F
11/16/2012,100248 Core Body Reformer Sales Kit,46851,T
11/16/2012,004-5544 Sit Up Bar,46868,F
11/16/2012,10293 TRC Machine Mat,46874,F
11/16/2012,100198 BFX TC10,46874,F
11/16/2012,001-3661 Tricep Rope,46825,F
11/16/2012,004-5544 Sit Up Bar,46869,F
11/16/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,46827,F
11/16/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,46855,F
11/16/2012,100178 SCH 840 Treadmill,46832,F
11/16/2012,004-5560 Stretch & Strength Foam Roller,46863,F
11/16/2012,004-0605 POWERbreathe IRONMAN Plus (M),46819,F
11/16/2012,11972 Dr. Riter's REAL-EaSE Support,46913,F
11/16/2012,100172 NLS R514 Recumbent Bike,46829,F
11/16/2012,100314 PEAK FIT SYSTEM KIT,46865,F
11/16/2012,95146 BFX 310# Rod Upgrade,46822,F
11/16/2012,93067 LUBE N WALK TREAD LUBE KIT,46834,F
11/16/2012,10293 TRC Machine Mat,46834,F
11/16/2012,100198 BFX TC10,46826,F
11/16/2012,003-9067 UNI UB100 Bench,46872,F
11/16/2012,100198 BFX TC10,46871,F
11/16/2012,100215 BFX TC5,46873,F
10/3/2012,100215 BFX TC5,45912,F
10/3/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,45869,F
10/3/2012,004-4150 SCH AC Power Supply Kit,45865,T
10/3/2012,93067 LUBE N WALK TREAD LUBE KIT,45875,F
10/3/2012,93067 LUBE N WALK TREAD LUBE KIT,45913,F
10/3/2012,10293 TRC Machine Mat,45855,F
10/3/2012,"000-3667 BFX Machine Mat 37.5 x 99.5""",45870,F
10/3/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,45857,F
10/3/2012,93067 LUBE N WALK TREAD LUBE KIT,45915,F
10/3/2012,100248 Core Body Reformer Sales Kit,45889,T
10/3/2012,100248 Core Body Reformer Sales Kit,45897,T
9/23/2012,100153 Bowflex Classic,46994,F
9/23/2012,"000-3667 BFX Machine Mat 37.5 x 99.5""",46979,F
9/23/2012,100153 Bowflex Classic,46979,F
9/23/2012,10071 Rod Pack  410# upgrade,46967,F
9/23/2012,100215 BFX TC5,46983,F
9/23/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,46980,F
9/23/2012,001-3660 E-Z Curl Bar,46980,F
9/23/2012,001-7476 Revolution Accessory Rack,47003,F
9/23/2012,10071 Rod Pack  410# upgrade,47014,F
9/23/2012,95146 BFX 310# Rod Upgrade,47014,F
9/23/2012,100198 BFX TC10,47000,F
9/23/2012,10293 TRC Machine Mat,46971,F
9/23/2012,10293 TRC Machine Mat,46996,F
9/23/2012,100199 BFX TC20,46996,F
9/23/2012,004-4512 XL - Schwinn Black W Bamboo Ra,47008,F
9/23/2012,98315 SCH MAT W/LOGO 3'X4',47008,F
9/23/2012,004-5545 Bowflex Ab Ball,47008,F
9/23/2012,70113 Schwinn Cycling Power Mix CD,47008,F
9/23/2012,004-5545 Bowflex Ab Ball,46984,F
9/23/2012,100237 SCH 150 Upright Bike,47017,F
9/23/2012,100131 BFX 552 Dumbbell Kit,46969,F
9/23/2012,100131 BFX 552 Dumbbell Kit,46975,F
9/23/2012,10293 TRC Machine Mat,46975,F
9/23/2012,100198 BFX TC10,46975,F
9/23/2012,100248 Core Body Reformer Sales Kit,46973,T
9/23/2012,002-4636 Soft Weight Ball 2 lb.,47016,F
9/23/2012,100131 BFX 552 Dumbbell Kit,47012,F
9/23/2012,"700005 Kit, BFX 2-in-1 Stand",47012,F
9/23/2012,100198 BFX TC10,47005,F
9/23/2012,003-9067 UNI UB100 Bench,47010,F
9/23/2012,100153 Bowflex Classic,46985,F
9/23/2012,100070 BFX Xtreme 2 SE,46998,F
9/23/2012,100199 BFX TC20,46992,F
9/23/2012,100198 BFX TC10,46986,F
9/23/2012,100070 BFX Xtreme 2 SE,46982,F
9/23/2012,160000 BFX Revolution,47002,F
9/23/2012,004-4150 SCH AC Power Supply Kit,46981,T
9/22/2012,100190 UNI KBK1020,46919,F
9/22/2012,140004 BFX 5.1 SelectTech Bench SinglePack,46919,F
9/22/2012,003-3157 Providence Beginner Kettlebell,46919,F
9/22/2012,710000 BFX 1090 Dumbbell Kit,46919,F
9/22/2012,100300 BFX SelectTech Stand,46919,F
9/22/2012,100198 BFX TC10,46957,F
9/22/2012,10293 TRC Machine Mat,46957,F
9/22/2012,100131 BFX 552 Dumbbell Kit,46956,F
9/22/2012,"700005 Kit, BFX 2-in-1 Stand",46956,F
9/22/2012,100215 BFX TC5,46950,F
9/22/2012,001-3354 Gym Style Ab Crunch Attachment,46966,F
9/22/2012,001-3661 Tricep Rope,46966,F
9/22/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,46940,F
9/22/2012,001-3660 E-Z Curl Bar,46940,F
9/22/2012,001-3661 Tricep Rope,46940,F
9/22/2012,100131 BFX 552 Dumbbell Kit,46931,F
9/22/2012,"700005 Kit, BFX 2-in-1 Stand",46931,F
9/22/2012,100215 BFX TC5,46952,F
9/22/2012,004-5551 Resistance Bands - heavy,46964,F
9/22/2012,100131 BFX 552 Dumbbell Kit,46964,F
9/22/2012,003-4172 Bfx Camelbak Btl (BPA Free)red,46964,F
9/22/2012,003-4173 Bfx Camelbak Btl (BPA Free)blk,46964,F
9/22/2012,005-0027 Bowflex BMI Daily Calorie Scale,46925,F
9/22/2012,140003 BFX 3.1 SelectTech Bench SinglePack,46934,F
9/22/2012,100131 BFX 552 Dumbbell Kit,46934,F
9/22/2012,"700005 Kit, BFX 2-in-1 Stand",46934,F
9/22/2012,100215 BFX TC5,46948,F
9/22/2012,90710 Schwinn Airdyne Reading Stand,46962,T
9/22/2012,100199 BFX TC20,46923,F
9/22/2012,95146 BFX 310# Rod Upgrade,46954,F
9/22/2012,100199 BFX TC20,46944,F
9/22/2012,100199 BFX TC20,46938,F
9/22/2012,100237 SCH 150 Upright Bike,46927,F
9/22/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,46936,F
9/22/2012,100161 NLS E514 Elliptical,46946,F
9/22/2012,710000 BFX 1090 Dumbbell Kit,46921,F
9/22/2012,100199 BFX TC20,46929,F
8/27/2012,PK1096 H/R Transmitter Kit,48315,F
8/20/2012,005-0027 Bowflex BMI Daily Calorie Scale,45007,F
8/20/2012,100198 BFX TC10,45007,F
8/20/2012,10293 TRC Machine Mat,45622,F
8/20/2012,100199 BFX TC20,45622,F
8/20/2012,93067 LUBE N WALK TREAD LUBE KIT,45622,F
8/20/2012,100198 BFX TC10,45626,F
8/20/2012,100198 BFX TC10,45628,F
8/20/2012,10293 TRC Machine Mat,45628,F
8/20/2012,93067 LUBE N WALK TREAD LUBE KIT,45628,F
8/20/2012,100199 BFX TC20,45008,F
8/20/2012,100131 BFX 552 Dumbbell Kit,45008,F
8/20/2012,10293 TRC Machine Mat,45008,F
8/20/2012,100199 BFX TC20,45635,F
8/20/2012,10293 TRC Machine Mat,45635,F
8/20/2012,93067 LUBE N WALK TREAD LUBE KIT,45633,F
8/20/2012,100199 BFX TC20,45633,F
8/20/2012,10293 TRC Machine Mat,45636,F
8/20/2012,100199 BFX TC20,45636,F
8/20/2012,100198 BFX TC10,45623,F
8/20/2012,10293 TRC Machine Mat,45623,F
8/20/2012,100198 BFX TC10,45631,F
8/20/2012,100215 BFX TC5,45011,F
8/20/2012,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,45625,F
8/20/2012,95146 BFX 310# Rod Upgrade,45009,F
8/20/2012,93067 LUBE N WALK TREAD LUBE KIT,45618,F
8/20/2012,100199 BFX TC20,45618,F
8/20/2012,93067 LUBE N WALK TREAD LUBE KIT,45620,F
8/20/2012,100198 BFX TC10,45620,F
8/20/2012,100199 BFX TC20,45632,F
8/20/2012,93067 LUBE N WALK TREAD LUBE KIT,45632,F
8/20/2012,100190 UNI KBK1020,45619,F
8/20/2012,100300 BFX SelectTech Stand,45630,F
8/20/2012,10293 TRC Machine Mat,45621,F
8/20/2012,100198 BFX TC10,45621,F
