OrderNumber|Quantity|ListPrice|SalesDiscount|Freight|FreightDiscount|LineTotal|NetProduct|OrderSource|SKU_NUM|Sku_NM|Class
SM:269909|0|.00||10.99||10.99|.00|Call Center|Freight||
SM:269911|1|8.09||||8.09|8.09|Call Center|12775|Tether  Safety  KK2731|Other : Parts
SM:269911|1|176.13||||176.13|176.13|Call Center|004-2438|Motor Control Board Kit|Other : Parts
SM:269911|0|.00||8.00||8.00|.00|Call Center|Freight||
SM:269921|1|.00||||.00|.00|Call Center|004-2439|Speed Sensor Kit|Other : Parts
SM:269921|1|.00||||.00|.00|Call Center|10573|TRC King I Motor Control - Jez|Other : Parts
SM:269921|1|.00||||.00|.00|Call Center|11663|"TRC King I 35"" Motor Cable"|Other : Parts
SM:269921|1|.00||||.00|.00|Call Center|10574|"TRC 49"" King I Cable"|Other : Parts
SM:269921|1|.00||||.00|.00|Call Center|12710|TC  Motor Kit  Pk1130|Other : Parts
SM:269921|1|.00||||.00|.00|Call Center|000-3816|BFX TC1000 Cnsl Kit|Other : Parts
SM:269921|0|.00||15.00||15.00|.00|Call Center|Freight||
SM:269921||.00|||-15.00|-15.00|.00|Call Center|Freight Discount||
SM:269926|1|14.99||||14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:269926|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:269930|1|15.68||||15.68|15.68|Call Center|18568|BELT DRIVE 3 SERIES 260J8|Other : Parts
SM:269930|0|.00||6.99||6.99|.00|Call Center|Freight||
SM:269934|1|14.37||||14.37|14.37|Call Center|000-7686|110VAC ADAPTR- 9VDC 1A|Other : Parts
SM:269934|0|.00||7.00||7.00|.00|Call Center|Freight||
SM:269935|1|58.52||||58.52|58.52|Call Center|11772|TC Deck Kit (pair)  PK1076|Other : Parts
SM:269935|0|.00||9.99||9.99|.00|Call Center|Freight||
SM:269935|1|82.62||||82.62|82.62|Call Center|12860|Kit, Treadle Belt, PK1162|Other : Parts
SM:269935|1|189.00||||189.00|189.00|Call Center|OTVTECHTRC|One Time Tech Visit - TreadClimber|Other : Service : One Time Visit
SM:269935|1|14.99||||14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:269937|1|8.09||||8.09|8.09|Call Center|12775|Tether  Safety  KK2731|Other : Parts
SM:269937|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:269943|1|7.14||||7.14|7.14|Call Center|003-2427|Wrnty Pedals Pair - Bikes|Other : Parts
SM:269943|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:269945|4|9.60||||9.60|9.60|Call Center|000-3809|BFX TC5000 Uprt Decal|Other : Parts
SM:269945||.00|-2.40|||-2.40|-2.40|Call Center|Sales Discount||
SM:269945|1|13.76||||13.76|13.76|Call Center|10519|TC Rear Cover Rev B KK2479|Other : Parts
SM:269945|1|8.86||||8.86|8.86|Call Center|12885|TC Teflon Friction Bloc PK1167|Other : Parts
SM:269945|3|40.35||||40.35|40.35|Call Center|MM2287|TC OVERLAY B FLEX 5020|Other : Parts
SM:269945|0|.00||20.00||20.00|.00|Call Center|Freight||
SM:269947|1|72.12||||72.12|72.12|Call Center|12550|X2 Wrnty Rod Cable Assy (Pair)|Other : Parts
SM:269947||.00|||-7.00|-7.00|.00|Call Center|Freight Discount||
SM:269947|0|.00||7.00||7.00|.00|Call Center|Freight||
SM:269947||.00|-72.12|||-72.12|-72.12|Call Center|Sales Discount||
SM:269952|1|70.00||||70.00|70.00|Call Center|003-7914|Console Kit  120 220|Other : Parts
SM:269952|0|.00||20.00||20.00|.00|Call Center|Freight||
SM:269954|1|23.58||||23.58|23.58|Call Center|000-3658|"I O Cable 8 Pin 75"" Rt Upright"|Other : Parts
SM:269954|1|25.10||||25.10|25.10|Call Center|000-3652|"I O Cable 8Pin 42"" Upright MCB"|Other : Parts
SM:269954|1|2.84||||2.84|2.84|Call Center|10565|"Wire  36"" Jumper  QQ2026"|Other : Parts
SM:269954|1|9.02||||9.02|9.02|Call Center|10564|Sensor  Speed Step  QQ1513|Other : Parts
SM:269954|1|176.13||||176.13|176.13|Call Center|004-2438|Motor Control Board Kit|Other : Parts
SM:269954|1|140.63||||140.63|140.63|Call Center|12710|TC  Motor Kit  Pk1130|Other : Parts
SM:269954|1|16.46||||16.46|16.46|Call Center|12834|TC Cord Bracket Kit  PK1141|Other : Parts
SM:269954|1|189.00||||189.00|189.00|Call Center|OTVTECHTRC|One Time Tech Visit - TreadClimber|Other : Service : One Time Visit
SM:269954|0|.00||30.00||30.00|.00|Call Center|Freight||
SM:269955|1|189.00||||189.00|189.00|Call Center|OTVTECHTRC|One Time Tech Visit - TreadClimber|Other : Service : One Time Visit
SM:269955||.00|-189.00|||-189.00|-189.00|Call Center|Sales Discount||
SM:269959|1|9.52||||9.52|9.52|Call Center|17100|Handgrip  Adj (Pair)|Other : Parts
SM:269959||.00|-9.52|||-9.52|-9.52|Call Center|Sales Discount||
SM:269959||.00|||-7.00|-7.00|.00|Call Center|Freight Discount||
SM:269959|0|.00||7.00||7.00|.00|Call Center|Freight||
SM:269962|1|40.57||||40.57|40.57|Call Center|001-0843|Motor Brake|Other : Parts
SM:269962||.00|-10.00|||-10.00|-10.00|Call Center|Sales Discount||
SM:269962||.00|||-8.00|-8.00|.00|Call Center|Freight Discount||
SM:269962|0|.00||8.00||8.00|.00|Call Center|Freight||
SM:269963|1|189.00||||189.00|189.00|Call Center|OTVTECHTRC|One Time Tech Visit - TreadClimber|Other : Service : One Time Visit
SM:269963||.00|-50.00|||-50.00|-50.00|Call Center|Sales Discount||
SM:269968|1|5.90||||5.90|5.90|Call Center|90268|Pin, 1/4 L|Other : Parts
SM:269968|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:269972|1|20.01||||20.01|20.01|Call Center|74025|PARK TOOL CRK PULL|Other : Parts
SM:269972||.00|||-8.00|-8.00|.00|Call Center|Freight Discount||
SM:269972|0|.00||8.00||8.00|.00|Call Center|Freight||
SM:269975|1|17.61||||17.61|17.61|Call Center|895-0023|AC DC Power Adaptor 9VDC  500m|Other : Parts
SM:269975|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:269978|1|189.00||||189.00|189.00|Call Center|OTVTECHTRC|One Time Tech Visit - TreadClimber|Other : Service : One Time Visit
SM:269978|2|29.98||||29.98|29.98|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:269978|0|.00||3.99||3.99|.00|Call Center|Freight||
SM:269984|2|23.60||||23.60|23.60|Call Center|90275|Cable  59|Other : Parts
SM:269984|0|.00||7.00||7.00|.00|Call Center|Freight||
SM:269988|1|185.26||||185.26|185.26|Call Center|003-2534|Motor Control Board|Other : Parts
SM:269988|0|.00||7.00||7.00|.00|Call Center|Freight||
SM:269999|1|99.40||||99.40|99.40|Call Center|000-0278|TRC Rear Roller Kit  PK1178|Other : Parts
SM:269999||.00|-99.40|||-99.40|-99.40|Call Center|Sales Discount||
SM:269999||.00|||-10.00|-10.00|.00|Call Center|Freight Discount||
SM:269999|0|.00||10.00||10.00|.00|Call Center|Freight||
SM:269999|1|189.00||||189.00|189.00|Call Center|OTVTECHTRC|One Time Tech Visit - TreadClimber|Other : Service : One Time Visit
SM:269999|1|-189.00||||-189.00|-189.00|Call Center|DISCOTVTECHTRC|Discount_One Time Tech Visit - TreadClimber|Other : Service : One Time Visit
SM:270009|2|23.60||||23.60|23.60|Call Center|90275|Cable  59|Other : Parts
SM:270009|1|14.99||||14.99|14.99|Call Center|001-3649|BFX Rod Rjuvnatr w mini 410 add-on|Strength : Home Gyms : Accessories
SM:270009|0|.00||7.00||7.00|.00|Call Center|Freight||
SM:270016|1|24.05||||24.05|24.05|Call Center|003-8937|Servo Motor|Other : Parts
SM:270016|0|.00||7.00||7.00|.00|Call Center|Freight||
SM:270016|1|189.00||||189.00|189.00|Call Center|OTVTECHBFC|One Time Tech Visit - Bike/Elliptical/Treadmill|Other : Service : One Time Visit
SM:270034|2|76.30||||76.30|76.30|Call Center|002-6838|Base assembly Black|Other : Parts
SM:270034|0|.00||15.00||15.00|.00|Call Center|Freight||
SM:270034||.00|||-15.00|-15.00|.00|Call Center|Freight Discount||
SM:270037|2|119.50||||119.50|119.50|Call Center|003-8857|SPRING RETURN SHOCK|Other : Parts
SM:270037|0|.00||10.00||10.00|.00|Call Center|Freight||
SM:270055|1|.88||||.88|.88|Call Center|003-5666|E-Stop Plug and Clip|Other : Parts
SM:270055||.00|-.88|||-.88|-.88|Call Center|Sales Discount||
SM:270055||.00|||-6.00|-6.00|.00|Call Center|Freight Discount||
SM:270055|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:270061|2|3.08||||3.08|3.08|Call Center|17016|Mult - Pulley Alignment Kit|Other : Parts
SM:270061|1|14.99||||14.99|14.99|Call Center|001-3649|BFX Rod Rjuvnatr w mini 410 add-on|Strength : Home Gyms : Accessories
SM:270061||.00|-1.81|||-1.81|-1.81|Call Center|Sales Discount||
SM:270061|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:270197|1|6.49||||6.49|6.49|Call Center|004-7388|ASSEMBLY  E-STOP KEY|Other : Parts
SM:270197||.00|-6.49|||-6.49|-6.49|Call Center|Sales Discount||
SM:270197||.00|||-6.00|-6.00|.00|Call Center|Freight Discount||
SM:270197|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:270211|1|.00||||.00|.00|Call Center|004-7388|ASSEMBLY  E-STOP KEY|Other : Parts
SM:270211|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:270212|1|99.40||||99.40|99.40|Call Center|000-0278|TRC Rear Roller Kit  PK1178|Other : Parts
SM:270212|1|14.99||||14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:270212|0|.00||7.99||7.99|.00|Call Center|Freight||
SM:71095068|1|3299.00||||3299.00|3299.00|Web|100199|BFX TC20|Cardio : TreadClimber : TreadClimber
SM:71095068||.00|-300.00|||-300.00|-300.00|Web|Sales Discount||
SM:71095068||.00|||-199.99|-199.99|.00|Web|Freight Discount||
SM:71095068|0|.00||199.99||199.99|.00|Web|Freight||
SM:71095068|1|99.00||||99.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71095068||.00|-99.00|||-99.00|-99.00|Web|Sales Discount||
SM:71095068||.00|||-9.99|-9.99|.00|Web|Freight Discount||
SM:71095068|0|.00||9.99||9.99|.00|Web|Freight||
SM:71095075|1|2199.00||||2199.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SM:71095075||.00|-200.00|||-200.00|-200.00|Web|Sales Discount||
SM:71095075|0|.00||20.00||20.00|.00|Web|Freight||
SM:71095075|1|99.00||||99.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71095075||.00|-99.00|||-99.00|-99.00|Web|Sales Discount||
SM:71095075||.00|||-9.99|-9.99|.00|Web|Freight Discount||
SM:71095075|0|.00||9.99||9.99|.00|Web|Freight||
SM:71095094|1|14.99||||14.99|14.99|Web|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:71095094|0|.00||3.99||3.99|.00|Web|Freight||
SM:71095138|1|2199.00||||2199.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SM:71095138||.00|-200.00|||-200.00|-200.00|Web|Sales Discount||
SM:71095138|0|.00||20.00||20.00|.00|Web|Freight||
SM:71095138|1|14.99||||14.99|14.99|Web|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:71095138|0|.00||3.99||3.99|.00|Web|Freight||
SM:71095138|1|99.00||||99.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71095138||.00|-99.00|||-99.00|-99.00|Web|Sales Discount||
SM:71095138||.00|||-9.99|-9.99|.00|Web|Freight Discount||
SM:71095138|0|.00||9.99||9.99|.00|Web|Freight||
SM:71095205|1|129.95||||129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SM:71095205||.00|||-24.95|-24.95|.00|Web|Freight Discount||
SM:71095205|0|.00||24.95||24.95|.00|Web|Freight||
SM:71095217|1|129.95||||129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SM:71095217||.00|||-24.95|-24.95|.00|Web|Freight Discount||
SM:71095217|0|.00||24.95||24.95|.00|Web|Freight||
SM:71095253|1|129.95||||129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SM:71095253||.00|||-24.95|-24.95|.00|Web|Freight Discount||
SM:71095253|0|.00||24.95||24.95|.00|Web|Freight||
SM:71095256|1|5.99||||5.99|5.99|Web|51525|Mult - Handgrip (Pair)|Other : Parts
SM:71095256|0|.00||7.99||7.99|.00|Web|Freight||
SM:71095315|1|129.95||||129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SM:71095315|0|.00||24.95||24.95|.00|Web|Freight||
SM:71095318|1|14.99||||14.99|14.99|Web|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:71095318|0|.00||3.99||3.99|.00|Web|Freight||
SM:71095336|1|599.00||||599.00|599.00|Web|710000|BFX 1090 Dumbbell Kit|Strength : Selectorized : Weights
SM:71095336|0|.00||129.99||129.99|.00|Web|Freight||
SM:71095336|1|139.00||||139.00|139.00|Web|100300|BFX SelectTech Stand|Strength : Selectorized : Accessories
SM:71095336|0|.00||19.99||19.99|.00|Web|Freight||
SM:71095366|1|3299.00||||3299.00|3299.00|Web|100199|BFX TC20|Cardio : TreadClimber : TreadClimber
SM:71095366||.00|-300.00|||-300.00|-300.00|Web|Sales Discount||
SM:71095366||.00|||-199.99|-199.99|.00|Web|Freight Discount||
SM:71095366|0|.00||199.99||199.99|.00|Web|Freight||
SM:71095366|1|99.00||||99.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71095366||.00|-99.00|||-99.00|-99.00|Web|Sales Discount||
SM:71095366||.00|||-9.99|-9.99|.00|Web|Freight Discount||
SM:71095366|0|.00||9.99||9.99|.00|Web|Freight||
SM:71095413|1|3299.00||||3299.00|3299.00|Web|100199|BFX TC20|Cardio : TreadClimber : TreadClimber
SM:71095413||.00|-300.00|||-300.00|-300.00|Web|Sales Discount||
SM:71095413||.00|||-199.99|-199.99|.00|Web|Freight Discount||
SM:71095413|0|.00||199.99||199.99|.00|Web|Freight||
SM:71095413|1|249.00||||249.00|249.00|Web|IHA-100199|Treadclimber TC20 Assembly|Other : Service : In Home Assembly
SM:71095413|1|99.00||||99.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71095413||.00|-99.00|||-99.00|-99.00|Web|Sales Discount||
SM:71095413||.00|||-9.99|-9.99|.00|Web|Freight Discount||
SM:71095413|0|.00||9.99||9.99|.00|Web|Freight||
SM:71095429|1|3299.00||||3299.00|3299.00|Web|100199|BFX TC20|Cardio : TreadClimber : TreadClimber
SM:71095429||.00|-300.00|||-300.00|-300.00|Web|Sales Discount||
SM:71095429||.00|||-199.99|-199.99|.00|Web|Freight Discount||
SM:71095429|0|.00||199.99||199.99|.00|Web|Freight||
SM:71095429|1|99.00||||99.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71095429||.00|-99.00|||-99.00|-99.00|Web|Sales Discount||
SM:71095429||.00|||-9.99|-9.99|.00|Web|Freight Discount||
SM:71095429|0|.00||9.99||9.99|.00|Web|Freight||
SM:71095447|1|16.99||||16.99|16.99|Web|003-4169|SNAPHOOKS  KIT OF 4|Other : Parts
SM:71095447|0|.00||7.99||7.99|.00|Web|Freight||
SM:71095447|1|.00||||.00|.00|Web|90641|Mult - Foot Harness|Strength : Home Gyms : Accessories
SM:71095447|0|.00||5.00||5.00|.00|Web|Freight||
SM:71095459|2|29.98||||29.98|29.98|Web|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:71095459|0|.00||7.98||7.98|.00|Web|Freight||
SM:71095488|1|129.95||||129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SM:71095488||.00|||-24.95|-24.95|.00|Web|Freight Discount||
SM:71095488|0|.00||24.95||24.95|.00|Web|Freight||
SM:71095491|2|11.98||||11.98|11.98|Web|51525|Mult - Handgrip (Pair)|Other : Parts
SM:71095491|0|.00||15.98||15.98|.00|Web|Freight||
SM:71095561|1|2199.00||||2199.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SM:71095561||.00|-200.00|||-200.00|-200.00|Call Center|Sales Discount||
SM:71095561|0|.00||20.00||20.00|.00|Call Center|Freight||
SM:71095561|1|14.99||||14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:71095561|0|.00||3.99||3.99|.00|Call Center|Freight||
SM:71095561|1|99.00||||99.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71095561||.00|-99.00|||-99.00|-99.00|Call Center|Sales Discount||
SM:71095561||.00|||-9.99|-9.99|.00|Call Center|Freight Discount||
SM:71095561|0|.00||9.99||9.99|.00|Call Center|Freight||
SM:71095594|1|14.99||||14.99|14.99|Web|001-3649|BFX Rod Rjuvnatr w mini 410 add-on|Strength : Home Gyms : Accessories
SM:71095594|0|.00||8.99||8.99|.00|Web|Freight||
SM:71095609|1|129.95||||129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SM:71095609||.00|||-24.95|-24.95|.00|Web|Freight Discount||
SM:71095609|0|.00||24.95||24.95|.00|Web|Freight||
SM:71095641|1|3299.00||||3299.00|3299.00|Web|100199|BFX TC20|Cardio : TreadClimber : TreadClimber
SM:71095641||.00|-300.00|||-300.00|-300.00|Web|Sales Discount||
SM:71095641||.00|||-199.99|-199.99|.00|Web|Freight Discount||
SM:71095641|0|.00||199.99||199.99|.00|Web|Freight||
SM:71095641|1|14.99||||14.99|14.99|Web|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:71095641||.00|||-3.99|-3.99|.00|Web|Freight Discount||
SM:71095641|0|.00||3.99||3.99|.00|Web|Freight||
SM:71095641|1|99.00||||99.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71095641||.00|-99.00|||-99.00|-99.00|Web|Sales Discount||
SM:71095641||.00|||-9.99|-9.99|.00|Web|Freight Discount||
SM:71095641|0|.00||9.99||9.99|.00|Web|Freight||
SM:71095666|1|99.00||||99.00|99.00|Web|10071|Rod Pack  410# upgrade|Strength : Home Gyms : Accessories
SM:71095666|0|.00||10.99||10.99|.00|Web|Freight||
SM:71095680|1|2199.00||||2199.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SM:71095680||.00|-200.00|||-200.00|-200.00|Call Center|Sales Discount||
SM:71095680||.00|||-20.00|-20.00|.00|Call Center|Freight Discount||
SM:71095680|0|.00||20.00||20.00|.00|Call Center|Freight||
SM:71095680|1|1599.00||||1599.00|1599.00|Call Center|100334|BFX XTREME 2SE HOME GYM|Strength : Home Gyms : Rods
SM:71095680||.00|||-169.99|-169.99|.00|Call Center|Freight Discount||
SM:71095680|0|.00||169.99||169.99|.00|Call Center|Freight||
SM:71095680|1|14.99||||14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:71095680||.00|||-3.99|-3.99|.00|Call Center|Freight Discount||
SM:71095680|0|.00||3.99||3.99|.00|Call Center|Freight||
SM:71095680|1|99.00||||99.00|99.00|Call Center|95146|BFX 310# Rod Upgrade|Strength : Home Gyms : Accessories
SM:71095680||.00|||-10.99|-10.99|.00|Call Center|Freight Discount||
SM:71095680|0|.00||10.99||10.99|.00|Call Center|Freight||
SM:71095680|1|14.99||||14.99|14.99|Call Center|001-3649|BFX Rod Rjuvnatr w mini 410 add-on|Strength : Home Gyms : Accessories
SM:71095680||.00|||-8.99|-8.99|.00|Call Center|Freight Discount||
SM:71095680|0|.00||8.99||8.99|.00|Call Center|Freight||
SM:71095680|1|99.00||||99.00|99.00|Call Center|000-7262|Xtreme 60x48 Mat Boxed|Strength : Home Gyms : Accessories
SM:71095680||.00|-99.00|||-99.00|-99.00|Call Center|Sales Discount||
SM:71095680||.00|||-9.99|-9.99|.00|Call Center|Freight Discount||
SM:71095680|0|.00||9.99||9.99|.00|Call Center|Freight||
SM:71095715|1|349.00||||349.00|349.00|Web|100131|BFX 552 Dumbbell Kit|Strength : Selectorized : Weights
SM:71095808|1|2999.00||||2999.00|2999.00|Call Center|160000|BFX Revolution|Strength : Home Gyms : Spiraflex
SM:71095808||.00|-200.00|||-200.00|-200.00|Call Center|Sales Discount||
SM:71095808||.00|||-199.99|-199.99|.00|Call Center|Freight Discount||
SM:71095808|0|.00||199.99||199.99|.00|Call Center|Freight||
SM:71095808|1|299.00||||299.00|299.00|Call Center|IHA-160000|Revolution Assembly|Other : Service : In Home Assembly
SM:71095808|1|99.00||||99.00|99.00|Call Center|000-4275|BFX Revo 80# Resistance Upgrade|Strength : Home Gyms : Accessories
SM:71095808||.00|||-14.99|-14.99|.00|Call Center|Freight Discount||
SM:71095808|0|.00||14.99||14.99|.00|Call Center|Freight||
SM:71095808|1|.00||||.00|.00|Call Center|001-3661|Tricep Rope|Strength : Home Gyms : Accessories
SM:71095808||.00|||-9.99|-9.99|.00|Call Center|Freight Discount||
SM:71095808|0|.00||9.99||9.99|.00|Call Center|Freight||
SM:71095808|1|39.99||||39.99|39.99|Call Center|001-3660|E-Z Curl Bar|Strength : Home Gyms : Accessories
SM:71095808||.00|||-9.99|-9.99|.00|Call Center|Freight Discount||
SM:71095808|0|.00||9.99||9.99|.00|Call Center|Freight||
SM:71095808|1|99.00||||99.00|99.00|Call Center|000-3667|"BFX Machine Mat 37.5 x 99.5"""|Strength : Home Gyms : Accessories
SM:71095808||.00|-99.00|||-99.00|-99.00|Call Center|Sales Discount||
SM:71095808||.00|||-9.99|-9.99|.00|Call Center|Freight Discount||
SM:71095808|0|.00||9.99||9.99|.00|Call Center|Freight||
SM:71095821|1|49.95||||49.95|49.95|Web|12838|BFX Body Building DVD|Strength : Home Gyms : Accessories
SM:71096230|1|99.00||||99.00|99.00|Mobile|000-4275|BFX Revo 80# Resistance Upgrade|Strength : Home Gyms : Accessories
SM:71096230|0|.00||14.99||14.99|.00|Mobile|Freight||
SM:71096230|1|99.00||||99.00|99.00|Mobile|000-3667|"BFX Machine Mat 37.5 x 99.5"""|Strength : Home Gyms : Accessories
SM:71096230|0|.00||9.99||9.99|.00|Mobile|Freight||
SM:71096230|1|.00||||.00|.00|Mobile|001-3661|Tricep Rope|Strength : Home Gyms : Accessories
SM:71096230|0|.00||9.99||9.99|.00|Mobile|Freight||
SM:71096274|1|349.00||||349.00|349.00|Web|100131|BFX 552 Dumbbell Kit|Strength : Selectorized : Weights
SM:71096274|1|.00||||.00|.00|Web|100340|BFX 4.1 Bench|Strength : Selectorized : Adjustable Benches
SM:71096274||.00|||-29.99|-29.99|.00|Web|Freight Discount||
SM:71096274|0|.00||29.99||29.99|.00|Web|Freight||
SM:71127494|1|2199.00||||2199.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SM:71127494||.00|-300.00|||-300.00|-300.00|Call Center|Sales Discount||
SM:71127494||.00|||-199.99|-199.99|.00|Call Center|Freight Discount||
SM:71127494|0|.00||199.99||199.99|.00|Call Center|Freight||
SM:71127494|1|99.00||||99.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71127494||.00|-99.00|||-99.00|-99.00|Call Center|Sales Discount||
SM:71127494||.00|||-9.99|-9.99|.00|Call Center|Freight Discount||
SM:71127494|0|.00||9.99||9.99|.00|Call Center|Freight||
SM:71127495|1|2199.00||||2199.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SM:71127495||.00|-300.00|||-300.00|-300.00|Call Center|Sales Discount||
SM:71127495||.00|||-199.99|-199.99|.00|Call Center|Freight Discount||
SM:71127495|0|.00||199.99||199.99|.00|Call Center|Freight||
SM:71127495|1|99.00||||99.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SM:71127495||.00|-99.00|||-99.00|-99.00|Call Center|Sales Discount||
SM:71127495||.00|||-9.99|-9.99|.00|Call Center|Freight Discount||
