Treadclimber,CAM29865 SAWADHERETC,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74743354,Online,Call Center Internal
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74746398,Online Search,Web
Results Treadmill,CAM50816 DOFG2BXTFEED1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74746498,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74746499,Online Shopping,Web
Bowflex Catalog,CAM50812 DOSG2HSL2,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74746598,Online Search,Web
Bowflex Catalog,CAM50824 DOFG2BXEFEED1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74746698,Online Shopping,Web
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74746699,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,,9/28/2017,9/25/2017,74746799,Un-Sourced,Call Center Internal
Treadclimber,CAM45327 1800MAXTRAINER,Internal,,9/28/2017,9/25/2017,74746800,Un-Sourced,Call Center Internal
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74746903,Online Search,Web
Bowflex Selecttech Dumbbells,CAM30796 SAWDOSG2G,Internal,,9/28/2017,9/25/2017,74747004,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/28/2017,9/25/2017,74747005,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747011,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74747012,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747111,Online Shopping,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74747211,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747212,Online Search,Web
Treadclimber,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747213,Online Search,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747311,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747411,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747512,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74747611,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747711,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747811,Online Search,Web
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74747911,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74748017,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74748117,Electronic - UnSourced,Web
Bowflex HVT,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74748217,Online Display,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74748420,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/28/2017,9/25/2017,74748621,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74748925,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74749026,Electronic - UnSourced,Web
Bowflex HVT,CAM50808 DOFG2HFEED1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74749126,Online Shopping,Web
Treadclimber,CAM37655 dosbitsl10,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74749226,Online Search,Web
Treadclimber,CAM45327 1800MAXTRAINER,Internal,,9/28/2017,9/25/2017,74749326,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74749327,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74749428,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM52148 ESP2N60*M450STIC,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74749529,Short Form,Call Center Internal
Treadclimber,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74749532,Online Shopping,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74749533,Electronic - Short Form,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74749631,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74749731,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74749732,Online Search,Web
Treadclimber,CAM30796 SAWDOSG2G,Internal,,9/28/2017,9/25/2017,74749931,Online Search,Call Center Internal
Treadclimber,CAM36608 dsetsf12a,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74749932,Electronic - Short Form,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74750032,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74750033,Electronic - UnSourced,Web
Bowflex Catalog,CAM37655 dosbitsl10,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74750133,Online Search,Web
Treadclimber,CAM44065 SAWDOSG2TMOBILE2,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74750234,Online Search,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74750235,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74750238,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74750338,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74750438,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74750639,Online Search,Web
Bowflex Max Trainer,CAM30796 SAWDOSG2G,Internal,,9/28/2017,9/25/2017,74750741,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/28/2017,9/25/2017,74750742,Online Search,Call Center Internal
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74750744,Online Search,Web
Treadclimber,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74750846,Online Search,Web
Bowflex HVT,CAM40821 1800BOWFLEX,Internal,,9/28/2017,9/25/2017,74750948,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM40821 1800BOWFLEX,Internal,,9/28/2017,9/25/2017,74750949,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74750951,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74751055,Online Search,Web
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74751355,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74751558,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74751657,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74751658,Online Search,Web
Bowflex Catalog,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74751758,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74751858,Online Search,Web
Bowflex Home Gyms,CAM37117 dosg2gsl27,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74751958,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74752159,Online Shopping,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74752260,Online Display,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,11/5/2017,9/28/2017,9/25/2017,74752362,Online Search,Web
Bowflex Max Trainer,CAM52204 VICAN60*M450STIC,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74752463,Short Form,Call Center Internal
Treadclimber,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74752464,Online Search,Web
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74752465,Online Search,Web
Bowflex Max Trainer,CAM52188 IFC*N60*M450STIC,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74752566,Short Form,Call Center Internal
Bowflex Max Trainer,CAM52147 ESP2N60*M450CTIC,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74752567,Short Form,Call Center Internal
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,11/4/2017,9/28/2017,9/25/2017,74752568,Online Display,Web
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,9/28/2017,9/28/2017,9/25/2017,74752670,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74752770,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74752771,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74752877,Online Search,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74753077,Online Shopping,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74753179,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74753279,Online Search,Web
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,9/28/2017,9/25/2017,74753479,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,Internal,,9/28/2017,9/25/2017,74753580,Online Search,Call Center Internal
Results Elliptical,CAM40821 1800BOWFLEX,Internal,,9/28/2017,9/25/2017,74753581,Un-Sourced,Call Center Internal
Bowflex Catalog,CAM40821 1800BOWFLEX,Internal,,9/28/2017,9/25/2017,74753582,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM40821 1800BOWFLEX,Internal,,9/28/2017,9/25/2017,74753583,Un-Sourced,Call Center Internal
Treadclimber,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74753584,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,9/28/2017,9/28/2017,9/25/2017,74753684,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74753784,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74753884,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74753985,Online Shopping,Web
Bowflex Max Trainer,CAM45731 DOSBIESL6,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74754085,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74754185,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74754286,Online Search,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74754287,Online Display,Web
Treadclimber,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74754385,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74754386,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74754585,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74754685,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74754785,Online Shopping,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74754885,Electronic - Short Form,Web
Nautilus,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74755086,Electronic - UnSourced,Web
Results Elliptical,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74755285,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74755386,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74755586,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74755587,Online Shopping,Web
Results Treadmill,CAM50814 DODG2BXTDL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74755686,Online Display,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74755886,Online Display,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74755887,Electronic - UnSourced,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74755986,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74756187,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74756287,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74756487,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74756588,Online Search,Web
Bowflex Catalog,CAM50972 DCBHOMESUM17,Internal,,9/6/2017,9/4/2017,74756687,Catalog,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,Internal,9/28/2017,9/28/2017,9/25/2017,74756988,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74757091,Electronic - Short Form,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74757291,Online Search,Web
Results Treadmill,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74757392,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74757393,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74757491,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74757591,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74757691,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74757792,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74757991,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74758193,Online Search,Web
Results Treadmill,CAM50820 DOSG2BXTSL2,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74758293,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74758393,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74758593,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74758693,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74758694,Online Search,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74758695,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74758696,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74758697,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74758793,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74758893,Online Display,Web
Bowflex HVT,CAM39441 dosbigl1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74758993,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74759093,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759193,Online Search,Web
Bowflex Catalog,CAM50808 DOFG2HFEED1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74759293,Online Shopping,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759393,Online Search,Web
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759493,Online Search,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759593,Online Display,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759693,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759893,Online Search,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759993,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760094,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760194,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760195,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760196,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760294,Electronic - UnSourced,Web
Results Treadmill,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760295,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760296,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760394,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760495,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760695,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74760895,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760995,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM37743 dosbigsl6,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761096,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74761195,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761395,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761495,Online Search,Web
Treadclimber,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761596,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761695,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761795,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74761895,Online Search,Web
