AdID Product Interest,PI Purchased (Item PI),Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Treadclimber,Bowflex Max Trainer,Electronic - Short Form,CAM30971 icastsf09buytc,Web,10/31/2016,11/6/2016,1,1899.00
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Web,10/31/2016,11/6/2016,1,1249.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/6/2016,3,5697.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/6/2016,1,449.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/6/2016,0,99.00
Treadclimber,Bowflex Max Trainer,Online Search,CAM49424 DOSG2T,Call Center Internal,10/31/2016,11/6/2016,1,1899.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/6/2016,0,163.93
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/6/2016,1,1899.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/6/2016,3,2384.99
Treadclimber,Treadclimber,Online Search,CAM37661 icaosgctsl5,Web,10/31/2016,11/6/2016,1,2099.00
Treadclimber,Bowflex Max Trainer,Online Search,CAM39467 icaosbctsl1,Web,10/31/2016,11/6/2016,1,2949.00
Treadclimber,Treadclimber,Online Search,CAM39467 icaosbctsl1,Web,10/31/2016,11/6/2016,0,118.99
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,10/31/2016,11/6/2016,3,5615.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45624 ICAOSGCESL2,Web,10/31/2016,11/6/2016,0,99.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,10/31/2016,11/6/2016,2,3898.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,10/31/2016,11/6/2016,2,4657.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,10/31/2016,11/6/2016,2,4607.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,10/31/2016,11/6/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Web,11/7/2016,11/7/2016,1,1299.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,11/7/2016,11/7/2016,1,2599.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,11/7/2016,11/7/2016,0,99.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,11/7/2016,11/7/2016,0,118.99
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,11/7/2016,11/7/2016,1,1249.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,11/7/2016,11/7/2016,2,977.99
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,11/7/2016,11/7/2016,1,2099.00
Bowflex Selecttech Dumbbells,Bowflex Max Trainer,Online Search,CAM30828 icaosgcdsl2,Call Center Internal,11/7/2016,11/7/2016,1,1249.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,11/7/2016,11/7/2016,1,1563.99
Bowflex Brand,Treadclimber,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,11/7/2016,11/7/2016,1,2113.99
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Call Center Internal,11/7/2016,11/7/2016,1,1249.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45841 ICAOSGCESL8,Call Center Internal,11/7/2016,11/7/2016,1,1249.00
Treadclimber,Bowflex Max Trainer,Online Search,CAM49424 DOSG2T,Call Center Internal,11/7/2016,11/7/2016,1,1899.00
Treadclimber,Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,11/7/2016,11/7/2016,2,5416.98
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,Web,11/7/2016,11/7/2016,0,118.99
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,11/7/2016,11/7/2016,1,1249.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,Web,11/7/2016,11/7/2016,1,699.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM37662 icaosgcwsl23,Web,11/7/2016,11/7/2016,0,118.99
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,11/7/2016,11/7/2016,2,3198.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45628 ICAOSBCESL2,Web,11/7/2016,11/7/2016,1,2599.00
Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Online Search,CAM45628 ICAOSBCESL2,Web,11/7/2016,11/7/2016,0,219.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM47271 ICAOSGCESL10,Web,11/7/2016,11/7/2016,1,1899.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,11/7/2016,11/7/2016,1,2149.00
Bowflex Max Trainer,Bowflex Max Trainer,Print,CAM45882 P1114MSLHERJODIE,Call Center Internal,11/7/2016,11/7/2016,1,2599.00
Treadclimber,Bowflex Selecttech Dumbbells,Short Form,CAM49917 GET*N120DANYETIC,Call Center Internal,11/7/2016,11/7/2016,1,588.00
Bowflex Home Gyms,Treadclimber,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,11/7/2016,11/7/2016,0,31.96
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,11/7/2016,11/7/2016,1,2758.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,11/7/2016,11/7/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Call Center Internal,11/7/2016,11/8/2016,1,1899.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Call Center Internal,11/7/2016,11/8/2016,1,2599.00
Bowflex Brand,Bowflex Revolution,Electronic - UnSourced,CAM29862 icawbowflexca,Call Center Internal,11/7/2016,11/8/2016,0,199.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,11/7/2016,11/8/2016,1,1899.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,11/7/2016,11/8/2016,0,.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,11/7/2016,11/8/2016,2,3307.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,11/7/2016,11/8/2016,0,.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,11/7/2016,11/8/2016,1,1816.93
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,11/7/2016,11/8/2016,2,4816.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,11/7/2016,11/8/2016,0,99.00
Treadclimber,Bowflex Max Trainer,Online Search,CAM32595 SAWDOSBIT,Call Center Internal,11/7/2016,11/8/2016,1,1249.00
Treadclimber,Treadclimber,Online Search,CAM37608 SAWICAOSBCT,Call Center Internal,11/7/2016,11/8/2016,0,18.98
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,11/7/2016,11/8/2016,1,1899.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,Web,11/7/2016,11/8/2016,1,449.00
Bowflex Brand,Treadclimber,Online Search,CAM31266 icaosgcgl1,Web,11/7/2016,11/8/2016,0,118.99
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,11/7/2016,11/8/2016,3,5206.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,11/7/2016,11/8/2016,1,1899.00
Bowflex Home Gyms,Bowflex Home Gyms,Print,CAM28189 808INFOKT6WK,Call Center Internal,11/7/2016,11/8/2016,0,118.99
Treadclimber,Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,11/7/2016,11/8/2016,0,249.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,11/7/2016,11/8/2016,3,5747.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,11/7/2016,11/8/2016,0,99.00
Treadclimber,Bowflex Max Trainer,Electronic - Print,CAM38406 SAWDPETPRINT12F,Call Center Internal,11/7/2016,11/9/2016,1,1899.00
Treadclimber,Treadclimber,Electronic - Print,CAM38406 SAWDPETPRINT12F,Call Center Internal,11/7/2016,11/9/2016,0,99.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Call Center Internal,11/7/2016,11/9/2016,1,1899.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,11/7/2016,11/9/2016,1,1899.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,11/7/2016,11/9/2016,1,1899.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,11/7/2016,11/9/2016,0,99.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,11/7/2016,11/9/2016,0,54.98
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,11/7/2016,11/9/2016,1,2599.00
Treadclimber,Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,11/7/2016,11/9/2016,1,2113.99
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,11/7/2016,11/9/2016,1,1249.00
Treadclimber,Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,11/7/2016,11/9/2016,1,2099.00
