ID|Product Interest|Sub-Channel|Origin|Ad ID|Market Channel|URL Group|Promotion Code Offer|Promotion Code Offer Detail|Inquiry Date|Info Kit Date
CUS-12002173|Treadclimber|Call Center|Call Center Internal|CAM34328 USA*N120TXLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|11/26/2010|5/18/2015
CUS-9669141|Treadclimber|Call Center|Call Center Internal|CAM23185 CMDYN60*CRDIO***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/19/2007|6/8/2015
CUS-13286611|Treadclimber|Call Center|Call Center Internal|CAM38549 INSPN120FLY13TIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/27/2012|5/6/2015
CUS-12821306|Treadclimber|Call Center|Call Center Internal|CAM35600 HALMN120STONF***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|2/19/2012|5/15/2015
CUS-13169844|Treadclimber|Call Center|Call Center Internal|CAM37177 GOSPN120FLOOPTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/24/2012|6/19/2015
CUS-4236498|Treadclimber|Call Center|Call Center Internal|CAM36570 DISAN60*LETTXTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|4/12/2012|6/16/2015
CUS-7502081|Treadclimber|Call Center|Call Center Internal|CAM14488 OXGNN120NTSE3***|Short Form||TRC335||8/4/2005|5/13/2015
CUS-12525302|Treadclimber|Call Center|Call Center Internal|CAM35135 ION*N120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|9/14/2011|5/4/2015
CUS-8782819|Treadclimber|Call Center|Call Center Internal|CAM20273 HITSN60*B*AD2***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/7/2006|6/19/2015
CUS-13016110|Treadclimber|Web|Web|CAM31082 dosg2tgl1tc|Online Search|Google|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/11/2012|5/28/2015
CUS-12369622|Treadclimber|Call Center|Call Center Internal|CAM35133 INSPN120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|5/30/2011|5/30/2015
CUS-11642375|Treadclimber|Call Center|Call Center Internal|CAM18205 001CUSTSERVTRC|Other - Internal||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/4/2011|5/7/2015
CUS-9935475|Treadclimber|Call Center|Call Center Internal|CAM16414 DEGBFTRC|Electronic - UnSourced|Unsourced|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/21/2008|5/12/2015
CUS-11315562|Treadclimber|Call Center|Call Center Internal|CAM30082 DINVN120MUGTC***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|11/8/2009|5/7/2015
CUS-12572001|Treadclimber|Call Center|Call Center Internal|CAM35135 ION*N120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/18/2011|6/25/2015
CUS-8470701|Treadclimber|Call Center|Call Center Internal|CAM22553 OXGNN120NTSTP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/6/2006|6/22/2015
CUS-4493691|Treadclimber|Call Center|Call Center Internal|CAM6268 TCHFCOC|Other - Internal||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|2/28/2003|5/23/2015
CUS-5387449|Treadclimber|Call Center|Call Center Internal|CAM7948 USA*N60*THNK2***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/1/2003|6/3/2015
CUS-12570393|Treadclimber|Call Center|Call Center Internal|CAM34381 ABC*N60*LETTXSOA|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/17/2011|6/19/2015
CUS-12285143|Treadclimber|Call Center|Call Center Internal|CAM35135 ION*N120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|4/8/2011|6/7/2015
CUS-523993|Treadclimber|Call Center|Call Center Internal|CAM7952 DEUCL60*OWEN2***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/28/2004|5/28/2015
CUS-12602726|Treadclimber|Call Center|Call Center Internal|CAM33126 P0710WWAT5500|Print||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|11/7/2011|5/16/2015
CUS-12007440|Treadclimber|Call Center|Call Center Internal|CAM16426 DSETDIR|Electronic - Short Form|TV|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|11/28/2010|5/7/2015
CUS-12724670|Treadclimber|Call Center|Call Center Internal|CAM34582 HMC*N60*LETTX***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/4/2012|5/17/2015
CUS-903408|Treadclimber|Call Center|Third Party Call Center - Triton|CAM33014 SAWDOSG2TMOBILE|Online Search||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/5/2011|5/6/2015
CUS-12713884|Treadclimber|Call Center|Third Party Call Center - Triton|CAM34582 HMC*N60*LETTX***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/1/2012|6/30/2015
CUS-10334939|Treadclimber|Call Center|Call Center Internal|CAM27141 INLWS120NTSTP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/10/2008|5/26/2015
CUS-7699148|Treadclimber|Call Center|Call Center Internal|CAM15280 TACCN60*EZBNP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/29/2005|6/2/2015
CUS-13264589|Treadclimber|Call Center|Call Center Internal|CAM38085 INSPN180FLBOWTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/14/2012|6/13/2015
CUS-11363243|Treadclimber|Call Center|Call Center Internal|CAM31768 DISHN60*HOLIHHDT|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/5/2009|5/27/2015
CUS-12502181|Treadclimber|Call Center|Call Center Internal|CAM35601 INSPN120STONF***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/28/2011|5/25/2015
CUS-3859487|Bowflex Home Gyms|Call Center|Third Party Call Center - Convergys|CAM4485 TNN_BFX|Other - Internal||BFX6WEEK|Bowflex - 6 Week Satisfaction Guarantee|3/30/2002|5/14/2015
CUS-7535377|Bowflex Home Gyms|Call Center|Call Center Internal|CAM14413 NGEON60*OFFR2***|Short Form||BFX336||8/16/2005|6/12/2015
CUS-4682246|Bowflex Catalog|Call Center|Call Center Internal|CAM34735 BFCMOBILE|Electronic - Short Form||BFC|Catalog - Default Offer (Satisfaction Guarantee)|12/22/2010|5/11/2015
CUS-6052212|Treadclimber|Call Center|Call Center Internal|CAM6409 PAXCNINFSUMIT***|Online||TRC65||3/12/2004|5/4/2015
CUS-7309061|Treadclimber|Call Center|Call Center Internal|CAM12620 DISHN60*EZBO2ADT|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|5/14/2005|5/8/2015
CUS-224447|Treadclimber|Call Center|Call Center Internal|CAM32197 SLEUN120HLDIH***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/11/2010|5/20/2015
CUS-80376|Treadclimber|Call Center|Call Center Internal|CAM6210 TVGDN120COVER***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/31/2003|5/5/2015
CUS-10795168|Treadclimber|Call Center|Call Center Internal|CAM29855 HALLNCLFTRCNDOLF|Long Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/27/2009|6/13/2015
CUS-13248701|Treadclimber|Call Center|Call Center Internal|CAM38063 BIO*N120FLBOWTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/7/2012|5/18/2015
CUS-2537705|Treadclimber|Call Center|Call Center Internal|CAM34791 SPKEN120LTINS***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/21/2011|5/20/2015
CUS-8208737|Treadclimber|Call Center|Call Center Internal|CAM10133 PAXNNINFSUMTP***|Online||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|4/27/2006|5/27/2015
CUS-11683907|Treadclimber|Call Center|Call Center Internal|CAM32899 ION*N120MUL20***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|6/8/2010|5/15/2015
CUS-3755504|Treadclimber|Call Center|Call Center Internal|CAM26629 doayaht8sl4|Online Search|Yahoo|TFSFMAP1|TC20/TC10 - Free Mat, Free Ship (OM 1006)|1/5/2010|6/29/2015
CUS-11933775|Treadclimber|Call Center|Call Center Internal|CAM34277 DTV*N60*LETTXWOM|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/23/2010|5/16/2015
CUS-12012722|Bowflex Catalog|Call Center|Call Center Internal|CAM27557 Bowflex Catalog|Catalog||BFC|Catalog - Default Offer (Satisfaction Guarantee)|11/30/2010|5/12/2015
CUS-11520271|Treadclimber|Call Center|Call Center Internal|CAM32326 LMN*N60*HDFRS***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|2/20/2010|6/8/2015
CUS-12467748|Treadclimber|Call Center|Call Center Internal|CAM35143 DHN*N120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/3/2011|5/28/2015
CUS-11777039|Treadclimber|Call Center|Call Center Internal|CAM18205 001CUSTSERVTRC|Other - Internal||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/11/2010|5/20/2015
CUS-145687|Treadclimber|Call Center|Third Party Call Center - Triton|CAM35600 HALMN120STONF***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/20/2011|5/17/2015
CUS-8659607|Treadclimber|Call Center|Call Center Internal|CAM22554 PAX*N120NTSTP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/22/2006|6/19/2015
CUS-13126602|Treadclimber|Call Center|Third Party Call Center - Triton|CAM36608 dsetsf12a|Electronic - Short Form|TV|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|9/22/2012|5/20/2015
CUS-6060129|Treadclimber|Call Center|Call Center Internal|CAM9547 CORTNINFIDB3****|Online||TRC335||8/27/2005|5/29/2015
CUS-12741645|Treadclimber|Call Center|Call Center Internal|CAM35742 BIO*N120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/11/2012|5/25/2015
CUS-11889489|Treadclimber|Call Center|Call Center Internal|CAM33720 DISHN60*LETTRYAD|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/1/2010|5/26/2015
CUS-9299641|Treadclimber|Call Center|Call Center Internal|CAM22553 OXGNN120NTSTP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|6/18/2007|6/26/2015
CUS-6206896|Treadclimber|Call Center|Call Center Internal|CAM6725 GOLFNINFSUMIT***|Online||TRC65||5/8/2004|5/23/2015
CUS-6637763|Bowflex Catalog|Call Center|Call Center Internal|CAM27557 Bowflex Catalog|Catalog||BFC|Catalog - Default Offer (Satisfaction Guarantee)|1/27/2013|5/16/2015
CUS-7625542|Treadclimber|Call Center|Call Center Internal|CAM9683 FAM*NINFSUMNP***|Online||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|9/23/2005|6/28/2015
CUS-6166096|Treadclimber|Call Center|Call Center Internal|CAM10612 DISHN60*LIFE*MAN|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|4/24/2004|5/26/2015
CUS-3903861|Treadclimber|Call Center|Call Center Internal|CAM22554 PAX*N120NTSTP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/30/2006|5/4/2015
CUS-12450246|Treadclimber|Call Center|Call Center Internal|CAM35361 HALMS60*STWMN***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/25/2011|6/13/2015
CUS-12506973|Treadclimber|Call Center|Call Center Internal|CAM35126 CMT*N120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|9/1/2011|5/16/2015
CUS-12032225|Treadclimber|Call Center|Call Center Internal|CAM34313 ION*N120TXLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/9/2010|5/3/2015
CUS-13311351|Treadclimber|Call Center|Call Center Internal|CAM38564 INSPN180FLY13TIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/3/2013|6/24/2015
CUS-13314532|Treadclimber|Call Center|Third Party Call Center - West|CAM38561 OWN*N180FLY13TIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/4/2013|6/1/2015
CUS-13004142|Treadclimber|Call Center|Third Party Call Center - Triton|CAM36550 PGRNN180TSTORTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/3/2012|5/2/2015
CUS-3432110|Treadclimber|Call Center|Call Center Internal|CAM34327 TNT*N120TXLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|2/8/2011|5/4/2015
CUS-6711021|Treadclimber|Call Center|Call Center Internal|CAM12096 DTV*N60*EZBO*IW*|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|11/6/2004|5/19/2015
CUS-11945948|Treadclimber|Call Center|Call Center Internal|CAM34305 CENTN120TXLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/29/2010|6/8/2015
CUS-12428536|Treadclimber|Call Center|Call Center Internal|CAM16426 DSETDIR|Electronic - Short Form|TV|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/10/2011|5/31/2015
CUS-13064243|Treadclimber|Call Center|Third Party Call Center - West|CAM37228 INSPN120FLOOPTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/11/2012|6/14/2015
CUS-8154723|Treadclimber|Call Center|Call Center Internal|CAM18722 AMC*N60*CRBTP***|Short Form||TRC335||4/6/2006|5/18/2015
CUS-12366730|Treadclimber|Call Center|Call Center Internal|CAM35132 HALLN120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|5/28/2011|5/23/2015
CUS-6954496|Treadclimber|Call Center|Call Center Internal|CAM9069 WBSCLINFIDBSB***|Online||TRC67||1/20/2005|5/18/2015
CUS-5820324|Treadclimber|Call Center|Call Center Internal|CAM10439 0104WTWCHR2GINAV|Print||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/18/2003|6/23/2015
CUS-11359661|Treadclimber|Call Center|Call Center Internal|CAM30105 PAXNN120MUGTC***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/3/2009|6/11/2015
CUS-6433781|Treadclimber|Call Center|Call Center Internal|CAM11637 HITSN60*TSTMNIM*|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/7/2004|5/14/2015
CUS-11959615|Treadclimber|Call Center|Call Center Internal|CAM33725 GOOGN60*LETTRLIF|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|11/5/2010|5/3/2015
CUS-8430520|Treadclimber|Call Center|Call Center Internal|CAM19067 BETJN120NTSTP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/22/2006|5/8/2015
CUS-12536047|Treadclimber|Call Center|Third Party Call Center - Triton|CAM35601 INSPN120STONF***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|9/23/2011|6/10/2015
CUS-1140509|Treadclimber|Call Center|Call Center Internal|CAM32353 CHEAN120HOYFS***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/18/2010|5/30/2015
CUS-7123808|Treadclimber|Call Center|Call Center Internal|CAM13550 DISHN60*EZBO2***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/13/2005|6/15/2015
