SO-71382273|1|44.99||4.99|-4.99|44.99|44.99|Call Center|005-0022|Gaiam?s Calorie Coach from Ore|Other : Catalog Sourced
SO-71382377|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382313|1|3299.00||199.99|-199.99|2999.00|3299.00|Call Center|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382313||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71382313|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382313||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382319|1|2199.00||199.99|-199.99|1759.20|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382319|1|99.00||9.99|-9.99|79.20|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382319||.00|-459.60||||-459.60|Call Center|Sales Discount||
SO-71382320|1|166.54||.00|.00|166.54|166.54|Call Center|12710|TC  Motor Kit  Pk1130|Other : Parts
SO-71382321|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382321||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71382356|1|999.00||100.00|.00|999.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71382356||.00|-100.00||||-100.00|Web|Sales Discount||
SO-71382409|1|3299.00||199.99|-199.99|2999.00|3299.00|Web|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382409||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71382409|1|249.00||.00|.00|249.00|249.00|Web|IHA-100342|Bowflex TC20 Assembly|Other : Service : In Home Assembly
SO-71382409|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382409||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71382430|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382430||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71382430|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382430||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71382361|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382361||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71382361|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382361||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71382376|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382376||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71382348|1|999.00||100.00|.00|999.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71382348||.00|-100.00||||-100.00|Web|Sales Discount||
SO-71382359|1|999.00||100.00|.00|1099.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71382405|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382405||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71382405|1|159.00||.00|.00|159.00|159.00|Web|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71382327|1|119.00||29.99|-29.99|119.00|119.00|Web|003-9069|UNI UB300 Bench|Strength : Other Free Weights : Fixed Benches
SO-71382328|1|129.00||.00|.00|.00|129.00|Call Center|CSA-100233|Schwinn IC2 Bike Assembly|Other : Service : In Home Assembly
SO-71382328||.00|-129.00||||-129.00|Call Center|Sales Discount||
SO-71382364|1|349.00||.00|.00|349.00|349.00|Web|100131|BFX 552 Dumbbell Kit|Strength : Selectorized : Weights
SO-71382331|1|7.27||.00|.00|.00|7.27|Call Center|004-6768|Wedge  Support|Other : Parts
SO-71382331||.00|-7.27||||-7.27|Call Center|Sales Discount||
SO-71382333|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382333||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71382333|1|99.00||9.99|-9.99|99.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382334|1|999.00||299.99|-299.99|999.00|999.00|Call Center|100403|SCH 870 TREADMILL|Cardio : Treadmills : Treadmills
SO-71382334|1|249.00||.00|.00|.00|249.00|Call Center|IHA-100403|Schwinn 870 Treadmill Assembly|Other : Service : In Home Assembly
SO-71382334||.00|-249.00|.00|.00|.00|-249.00|Call Center|Sales Discount||
SO-71382334|1|99.00||.00|.00|99.00|99.00|Call Center|CARDIO-IHAHA|Cardio Haul Away|Other : Service : Haul Away - Cardio
SO-71382335|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382335||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71382335|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382335||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382337|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382337||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71382338|1|1599.00||150.00|-150.00|1449.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382338||.00|-150.00|.00|.00|.00|-150.00|Call Center|Sales Discount||
SO-71382338|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382338||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382338|1|99.00||.00|.00|99.00|99.00|Call Center|CARDIO-IHAHA|Cardio Haul Away|Other : Service : Haul Away - Cardio
SO-71382338|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71382342|1|999.00||100.00|-100.00|999.00|999.00|Call Center|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71382383|1|129.95||24.95|-24.95|129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SO-71382345|1|99.00||10.99|.00|109.99|99.00|Call Center|95146|BFX 310# Rod Upgrade|Strength : Home Gyms : Accessories
SO-71382352|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382352||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71382349|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382349||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71382351|1|14.95||3.95|-3.95|.00|14.95|Call Center|8001184|PEAK FIT SYSTEM WATER BOTTLE|Alternative Fitness : Peak Fit System : Accessories
SO-71382351|1|49.95||9.95|-9.95|.00|49.95|Call Center|8000871|PEAK FIT JUMP MAT|Alternative Fitness : Peak Fit System : Accessories
SO-71382351|20|1797.00||399.00|-399.00|.00|1797.00|Call Center|100314|PEAK FIT SYSTEM KIT|Alternative Fitness : Peak Fit System : Peak Fit System
SO-71382351||.00|-1861.90||||-1861.90|Call Center|Sales Discount||
SO-71382353|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382353||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71382385|1|129.95||24.95|-24.95|129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SO-71382373|1|1599.00||150.00|.00|1749.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382373|1|99.00||9.99|.00|108.99|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382378|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382378||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71382378|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382378||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382379|1|16.31||.00|.00|16.31|16.31|Call Center|MM2287|TC OVERLAY B FLEX 5020|Other : Parts
SO-71382381|1|599.00||249.99|-249.99|599.00|599.00|Web|100326|SCH 430 Elliptical|Cardio : Ellipticals : Fixed Stride
SO-71382384|1|199.00||29.99|-29.99|199.00|199.00|Call Center|100340|BFX 4.1 Bench|Strength : Selectorized : Adjustable Benches
SO-71382386|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382386||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71382394|1|999.00||100.00|-100.00|999.00|999.00|Call Center|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71382397|1|1599.00||150.00|-150.00|1449.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382397||.00|-150.00|.00|.00|.00|-150.00|Call Center|Sales Discount||
SO-71382397|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71382397|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382397||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382401|1|391.17||.00|.00|.00|391.17|Call Center|897-0003|MCB Assembly|Other : Parts
SO-71382401||.00|-391.17||||-391.17|Call Center|Sales Discount||
SO-71382406|1|40.00||.00|.00|40.00|40.00|Call Center|004-5563|Men's Weighted Vest|Other : Catalog Sourced
SO-71382408|1|2199.00||199.99|-199.99|1999.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382408||.00|-200.00|.00|.00|.00|-200.00|Call Center|Sales Discount||
SO-71382408|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382408||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382412|1|3299.00||199.99|-199.99|2999.00|3299.00|Web|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382412||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71382412|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382412||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71382413|1|27.13||.00|.00|27.13|27.13|Call Center|000-8464|Lower Left Handlebar Assembly|Other : Parts
SO-71382418|1|2199.00||199.99|-199.99|1999.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382418||.00|-200.00|.00|.00|.00|-200.00|Call Center|Sales Discount||
SO-71382418|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382418||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382452|1|999.00||100.00|.00|1099.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71382454|1|999.00||100.00|.00|999.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71382454||.00|-100.00||||-100.00|Web|Sales Discount||
SO-71382427|1|391.17||.00|.00|312.94|391.17|Call Center|897-0003|MCB Assembly|Other : Parts
SO-71382427||.00|-78.23||||-78.23|Call Center|Sales Discount||
SO-71382438|1|349.00||.00|.00|349.00|349.00|Web|100131|BFX 552 Dumbbell Kit|Strength : Selectorized : Weights
SO-71382462|1|3299.00||199.99|-199.99|2999.00|3299.00|Web|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382462||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71382462|1|199.00||14.95|-14.95|199.00|199.00|Web|100248|Core Body Reformer Sales Kit|Alternative Fitness : CoreBody Reformer : CoreBody Reformer
SO-71382462|1|249.00||.00|.00|249.00|249.00|Web|IHA-100342|Bowflex TC20 Assembly|Other : Service : In Home Assembly
SO-71382462|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382462||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71382428|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382429|1|189.00||.00|.00|189.00|189.00|Call Center|SERVICE - DIAGNOSTIC/REPEAT VISIT|Technician Visit, no parts ordered|Other : Service : One Time Visit
SO-71382435|1|4.87||.00|.00|4.87|4.87|Call Center|18007|110VAC ADAPTR- 9V .5A|Other : Parts
SO-71382437|3000|.00||.00|.00|.00|.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382501|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382501||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71382501|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382501||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71382443|4|28.92||.00|.00|.00|28.92|Call Center|90177|Pulley  Generic|Other : Parts
SO-71382443||.00|-28.92||||-28.92|Call Center|Sales Discount||
SO-71382469|1|199.00||29.99|.00|228.99|199.00|Web|100340|BFX 4.1 Bench|Strength : Selectorized : Adjustable Benches
SO-71382444|1|189.00||.00|.00|189.00|189.00|Call Center|SERVICE - DIAGNOSTIC/REPEAT VISIT|Technician Visit, no parts ordered|Other : Service : One Time Visit
SO-71382498|1|1599.00||150.00|.00|1749.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382498|1|99.00||9.99|.00|108.99|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382498|1|159.00||.00|.00|159.00|159.00|Web|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71382458|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382458||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71382479|1|129.95||24.95|-24.95|129.95|129.95|Web|100349|BFX UPPERCUT PERFORMANCE PACKAGE|Strength : Other Strength : UpperCut
SO-71382495|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382495||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71382495|1|99.00||9.99|-9.99|99.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382478|1|3.49||7.99|.00|11.48|3.49|Web|12238|TRC Safety Tether Assy|Other : Parts
SO-71382475|1|799.00||299.99|-299.99|799.00|799.00|Web|100393|NLS T614 TREADMILL|Cardio : Treadmills : Treadmills
SO-71382459|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382459||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71382460|1|3299.00||199.99|-199.99|2949.00|3299.00|Call Center|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382460||.00|-350.00|.00|.00|.00|-350.00|Call Center|Sales Discount||
SO-71382460|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382460||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382461|1|1.84||.00|.00|.00|1.84|Call Center|10075|Ult Lrge Threaded Knob 2-1 4x1|Other : Parts
SO-71382461||.00|-1.84||||-1.84|Call Center|Sales Discount||
SO-71382464|1|349.00||.00|.00|349.00|349.00|Web|100131|BFX 552 Dumbbell Kit|Strength : Selectorized : Weights
SO-71382464|1|199.00||29.99|-29.99|199.00|199.00|Web|100340|BFX 4.1 Bench|Strength : Selectorized : Adjustable Benches
SO-71382464|1|139.00||19.99|-19.99|139.00|139.00|Web|100300|BFX SelectTech Stand|Strength : Selectorized : Accessories
SO-71382466|1|58.82||.00|.00|58.82|58.82|Call Center|11772|TC Deck Kit (pair)  PK1076|Other : Parts
SO-71382466|1|162.79||.00|.00|162.79|162.79|Call Center|8006327|TC TREADLE BELT KIT, PAIR (L,R)|Other : Parts
SO-71382470|1|14.99||3.99|.00|18.98|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71382471|1|1599.00||150.00|-150.00|1599.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382473|1|12.39||.00|.00|.00|12.39|Call Center|000-4319|Strap  Mult Hold Down (2F 2M)|Other : Parts
SO-71382473||.00|-12.39||||-12.39|Call Center|Sales Discount||
SO-71382474|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382474||.00|-99.00||||-99.00|Call Center|Sales Discount||
SO-71382476|1|1599.00||150.00|-150.00|1599.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382476|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71382476|1|99.00||9.99|-9.99|99.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382485|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382485||.00|-99.00||||-99.00|Call Center|Sales Discount||
SO-71382486|2|21.42||.00|.00|21.42|21.42|Call Center|001-4998|Assy  Pulley w J Bolt|Other : Parts
SO-71382486|1|30.99||7.99|.00|38.98|30.99|Call Center|11852|Cable  Rod Warranty Kit  Pr|Other : Parts
SO-71382487|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382487||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71382487|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382487||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
